"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","Washington State State Treasurer","Mike Pellicciotti","(Prefers Democratic Party)","1350","26.2187","State Executive"
"Adams","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","3788","73.5677","State Executive"
"Adams","Washington State State Treasurer","WRITE-IN"," ","11","0.2136","State Executive"
"Adams","Washington State State Auditor","Pat (Patrice) McCarthy","(Prefers Democratic Party)","1396","27.1173","State Executive"
"Adams","Washington State State Auditor","Matt Hawkins","(Prefers Republican Party)","3742","72.6884","State Executive"
"Adams","Washington State State Auditor","WRITE-IN"," ","10","0.1943","State Executive"
"Adams","Washington State Attorney General","Pete Serrano","(Prefers Republican Party)","3842","74.8199","State Executive"
"Adams","Washington State Attorney General","Nick Brown","(Prefers Democratic Party)","1280","24.927","State Executive"
"Adams","Washington State Attorney General","WRITE-IN"," ","13","0.2532","State Executive"
"Adams","Washington State Commissioner of Public Lands","Jaime Herrera Beutler","(Prefers Republican Party)","3962","76.8127","State Executive"
"Adams","Washington State Commissioner of Public Lands","Dave Upthegrove","(Prefers Democratic Party)","1182","22.9159","State Executive"
"Adams","Washington State Commissioner of Public Lands","WRITE-IN"," ","14","0.2714","State Executive"
"Adams","Washington State Superintendent of Public Instruction","Chris Reykdal"," ","1542","32.9699","State Executive"
"Adams","Washington State Superintendent of Public Instruction","David Olson"," ","3072","65.6831","State Executive"
"Adams","Washington State Superintendent of Public Instruction","WRITE-IN"," ","63","1.347","State Executive"
"Adams","Washington State Insurance Commissioner","Patty Kuderer","(Prefers Democratic Party)","1334","26.0496","State Executive"
"Adams","Washington State Insurance Commissioner","Phil Fortunato","(Prefers Republican Party)","3768","73.5794","State Executive"
"Adams","Washington State Insurance Commissioner","WRITE-IN"," ","19","0.371","State Executive"
"Adams","LEGISLATIVE DISTRICT 9 State Senator","Mark G. Schoesler","(Prefers GOP Party)","3092","95.0215","Legislative"
"Adams","LEGISLATIVE DISTRICT 9 State Senator","WRITE-IN"," ","162","4.9785","Legislative"
"Adams","LEGISLATIVE DISTRICT 9 State Representative Pos. 1","Mary Dye","(Prefers GOP Party)","2898","76.7276","Legislative"
"Adams","LEGISLATIVE DISTRICT 9 State Representative Pos. 1","Patrick Miller","(Prefers Democratic Party)","853","22.5841","Legislative"
"Adams","LEGISLATIVE DISTRICT 9 State Representative Pos. 1","WRITE-IN"," ","26","0.6884","Legislative"
"Adams","LEGISLATIVE DISTRICT 9 State Representative Pos. 2","Joe Schmick","(Prefers Republican Party)","2935","77.1962","Legislative"
"Adams","LEGISLATIVE DISTRICT 9 State Representative Pos. 2","Pam Kohlmeier","(Prefers Democratic Party)","858","22.5671","Legislative"
"Adams","LEGISLATIVE DISTRICT 9 State Representative Pos. 2","WRITE-IN"," ","9","0.2367","Legislative"
"Adams","LEGISLATIVE DISTRICT 13 State Representative Pos. 1","Tom Dent","(Prefers Republican Party)","1172","97.2614","Legislative"
"Adams","LEGISLATIVE DISTRICT 13 State Representative Pos. 1","WRITE-IN"," ","33","2.7386","Legislative"
"Adams","LEGISLATIVE DISTRICT 13 State Representative Pos. 2","Alex Ybarra","(Prefers Republican Party)","1161","97.4811","Legislative"
"Adams","LEGISLATIVE DISTRICT 13 State Representative Pos. 2","WRITE-IN"," ","30","2.5189","Legislative"
"Adams","Adams County Commissioner District 1","Dan Blankenship","(Prefers Republican Party)","2955","60.7275","County"
"Adams","Adams County Commissioner District 1","David Lobe","(Prefers Republican Party)","1813","37.2585","County"
"Adams","Adams County Commissioner District 1","WRITE-IN"," ","98","2.014","County"
"Adams","Adams County Commissioner District 2","Jay R Weise","(Prefers Republican Party)","3206","66.1031","County"
"Adams","Adams County Commissioner District 2","Hank  Rivard","(Prefers Republican Party)","1554","32.0412","County"
"Adams","Adams County Commissioner District 2","WRITE-IN"," ","90","1.8557","County"
"Adams","SUPREME COURT Justice Position #02","Sal Mungia"," ","1588","35.4148","Judicial"
"Adams","SUPREME COURT Justice Position #02","Dave Larson"," ","2833","63.1802","Judicial"
"Adams","SUPREME COURT Justice Position #02","WRITE-IN"," ","63","1.405","Judicial"
"Adams","SUPREME COURT Justice Position #08","Steve Gonzalez"," ","3734","97.0122","Judicial"
"Adams","SUPREME COURT Justice Position #08","WRITE-IN"," ","115","2.9878","Judicial"
"Adams","SUPREME COURT Justice Position #09","Sheryl Gordon McCloud"," ","3718","96.7977","Judicial"
"Adams","SUPREME COURT Justice Position #09","WRITE-IN"," ","123","3.2023","Judicial"
"Adams","Adams Superior Court  Judge Position 1","K. Peter Palubicki"," ","3882","96.9773","Judicial"
"Adams","Adams Superior Court  Judge Position 1","WRITE-IN"," ","121","3.0227","Judicial"
"Adams","FIRE DISTRICT 4 Special Election Proposition No. 1","Approved"," ","9","100","Fire"
"Adams","FIRE DISTRICT 4 Special Election Proposition No. 1","Reject"," ","0","0","Fire"
"Adams","WASHTUCNA PARK AND RECREATION 2 Special Election Proposition No. 1","Approved"," ","108","57.1429","Park and Recreation"
"Adams","WASHTUCNA PARK AND RECREATION 2 Special Election Proposition No. 1","Rejected"," ","81","42.8571","Park and Recreation"
"Asotin","Washington State Initiative Measure No. 2066","Yes"," ","7102","64.4816","State Executive"
"Asotin","Washington State Initiative Measure No. 2066","No"," ","3912","35.5184","State Executive"
"Asotin","Washington State Initiative Measure No. 2109","Yes"," ","4670","42.0153","State Executive"
"Asotin","Washington State Initiative Measure No. 2109","No"," ","6445","57.9847","State Executive"
"Asotin","Washington State Initiative Measure No. 2117","Yes"," ","5550","50.395","State Executive"
"Asotin","Washington State Initiative Measure No. 2117","No"," ","5463","49.605","State Executive"
"Asotin","Washington State Initiative Measure No. 2124","Yes"," ","5235","47.8563","State Executive"
"Asotin","Washington State Initiative Measure No. 2124","No"," ","5704","52.1437","State Executive"
"Asotin","United States President/Vice President","Kamala D. Harris / Tim Walz","Democratic Party Nominees","4082","35.5947","Federal"
"Asotin","United States President/Vice President","Donald J. Trump / JD Vance","Republican Party Nominees","7004","61.0743","Federal"
"Asotin","United States President/Vice President","Robert F. Kennedy Jr. / Nicole Shanahan","We The People Party Nominees","182","1.587","Federal"
"Asotin","United States President/Vice President","Jill Stein / Rudolph Ware","Green Party Nominees","32","0.279","Federal"
"Asotin","United States President/Vice President","Claudia De la Cruz / Karina Garcia","Socialism and Liberation Party Nominees","13","0.1134","Federal"
"Asotin","United States President/Vice President","Rachele Fruit / Dennis Richter","Socialist Workers Party Nominees","0","0","Federal"
"Asotin","United States President/Vice President","Joseph Kishore / Jerry White","Socialist Equality Party Nominees","1","0.0087","Federal"
"Asotin","United States President/Vice President","Chase Oliver / Mike ter Maat","Libertarian Party Nominees","59","0.5145","Federal"
"Asotin","United States President/Vice President","Cornel West / Melina Abdullah","Justice For All Party Nominees","13","0.1134","Federal"
"Asotin","United States President/Vice President","Shiva Ayyadurai / Crystal Ellis","Independent Candidates","10","0.0872","Federal"
"Asotin","United States President/Vice President","WRITE-IN"," ","72","0.6278","Federal"
"Asotin","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","4386","39.6959","Federal"
"Asotin","United States U.S. Senator","Dr Raul Garcia","(Prefers GOP Party)","6627","59.9783","Federal"
"Asotin","United States U.S. Senator","WRITE-IN"," ","36","0.3258","Federal"
"Asotin","CONGRESSIONAL DISTRICT 5 U.S. Representative","Michael Baumgartner","(Prefers Republican Party)","7458","67.2074","Congressional"
"Asotin","CONGRESSIONAL DISTRICT 5 U.S. Representative","Carmela Conroy","(Prefers Democratic Party)","3620","32.6214","Congressional"
"Asotin","CONGRESSIONAL DISTRICT 5 U.S. Representative","WRITE-IN"," ","19","0.1712","Congressional"
"Asotin","Washington State Governor","Bob Ferguson","(Prefers Democratic Party)","4030","35.8159","State Executive"
"Asotin","Washington State Governor","Dave Reichert","(Prefers Republican Party)","7198","63.9708","State Executive"
"Asotin","Washington State Governor","WRITE-IN"," ","24","0.2133","State Executive"
"Asotin","Washington State Lt. Governor","Denny Heck","(Prefers Democratic Party)","3735","33.7063","State Executive"
"Asotin","Washington State Lt. Governor","Dan Matthews","(Prefers Republican Party)","7327","66.1222","State Executive"
"Asotin","Washington State Lt. Governor","WRITE-IN"," ","19","0.1715","State Executive"
"Asotin","Washington State Secretary of State","Steve Hobbs","(Prefers Democratic Party)","4044","36.6703","State Executive"
"Asotin","Washington State Secretary of State","Dale Whitaker","(Prefers Republican Party)","6965","63.1574","State Executive"
"Asotin","Washington State Secretary of State","WRITE-IN"," ","19","0.1723","State Executive"
"Asotin","Washington State State Treasurer","Mike Pellicciotti","(Prefers Democratic Party)","3990","36.4084","State Executive"
"Asotin","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","6954","63.4547","State Executive"
"Asotin","Washington State State Treasurer","WRITE-IN"," ","15","0.1369","State Executive"
"Asotin","Washington State State Auditor","Pat (Patrice) McCarthy","(Prefers Democratic Party)","4028","36.7585","State Executive"
"Asotin","Washington State State Auditor","Matt Hawkins","(Prefers Republican Party)","6918","63.132","State Executive"
"Asotin","Washington State State Auditor","WRITE-IN"," ","12","0.1095","State Executive"
"Asotin","Washington State Attorney General","Pete Serrano","(Prefers Republican Party)","7218","65.6421","State Executive"
"Asotin","Washington State Attorney General","Nick Brown","(Prefers Democratic Party)","3764","34.2306","State Executive"
"Asotin","Washington State Attorney General","WRITE-IN"," ","14","0.1273","State Executive"
"Asotin","Washington State Commissioner of Public Lands","Jaime Herrera Beutler","(Prefers Republican Party)","7493","68.6927","State Executive"
"Asotin","Washington State Commissioner of Public Lands","Dave Upthegrove","(Prefers Democratic Party)","3395","31.1239","State Executive"
"Asotin","Washington State Commissioner of Public Lands","WRITE-IN"," ","20","0.1834","State Executive"
"Asotin","Washington State Superintendent of Public Instruction","Chris Reykdal"," ","3816","40.1896","State Executive"
"Asotin","Washington State Superintendent of Public Instruction","David Olson"," ","5613","59.1153","State Executive"
"Asotin","Washington State Superintendent of Public Instruction","WRITE-IN"," ","66","0.6951","State Executive"
"Asotin","Washington State Insurance Commissioner","Patty Kuderer","(Prefers Democratic Party)","3864","35.6853","State Executive"
"Asotin","Washington State Insurance Commissioner","Phil Fortunato","(Prefers Republican Party)","6948","64.167","State Executive"
"Asotin","Washington State Insurance Commissioner","WRITE-IN"," ","16","0.1478","State Executive"
"Asotin","Legislative District 9 State Senator","Mark G. Schoesler","(Prefers GOP Party)","8466","96.139","Legislative"
"Asotin","Legislative District 9 State Senator","WRITE-IN"," ","340","3.861","Legislative"
"Asotin","Legislative District 9 State Representative Pos. 1","Mary Dye","(Prefers GOP Party)","7564","69.5029","Legislative"
"Asotin","Legislative District 9 State Representative Pos. 1","Patrick Miller","(Prefers Democratic Party)","3294","30.2674","Legislative"
"Asotin","Legislative District 9 State Representative Pos. 1","WRITE-IN"," ","25","0.2297","Legislative"
"Asotin","Legislative District 9 State Representative Pos. 2","Joe Schmick","(Prefers Republican Party)","7384","67.4338","Legislative"
"Asotin","Legislative District 9 State Representative Pos. 2","Pam Kohlmeier","(Prefers Democratic Party)","3552","32.4384","Legislative"
"Asotin","Legislative District 9 State Representative Pos. 2","WRITE-IN"," ","14","0.1279","Legislative"
"Asotin","Asotin COUNTY PROSECUTOR","Curt Liedkie","(States No Party Preference)","8400","98.1652","County"
"Asotin","Asotin COUNTY PROSECUTOR","WRITE-IN"," ","157","1.8348","County"
"Asotin","Asotin COUNTY COMMISSIONER 1","Brian Shinn","(States No Party Preference)","5830","57.2017","County"
"Asotin","Asotin COUNTY COMMISSIONER 1","Dennis R. Lenz","(States No Party Preference)","4293","42.1213","County"
"Asotin","Asotin COUNTY COMMISSIONER 1","WRITE-IN"," ","69","0.677","County"
"Asotin","Asotin COUNTY COMMISSIONER 2","Chris Seubert","(Prefers Republican Party)","8524","96.2946","County"
"Asotin","Asotin COUNTY COMMISSIONER 2","WRITE-IN"," ","328","3.7054","County"
"Asotin","SUPREME COURT Justice Position #02","Sal Mungia"," ","2954","31.5026","Judicial"
"Asotin","SUPREME COURT Justice Position #02","Dave Larson"," ","6362","67.8469","Judicial"
"Asotin","SUPREME COURT Justice Position #02","WRITE-IN"," ","61","0.6505","Judicial"
"Asotin","SUPREME COURT Justice Position #08","Steve Gonzalez"," ","7967","98.2125","Judicial"
"Asotin","SUPREME COURT Justice Position #08","WRITE-IN"," ","145","1.7875","Judicial"
"Asotin","SUPREME COURT Justice Position #09","Sheryl Gordon McCloud"," ","7918","98.1043","Judicial"
"Asotin","SUPREME COURT Justice Position #09","WRITE-IN"," ","153","1.8957","Judicial"
"Asotin","Asotin, Columbia, Garfield Superior Court Judge Position 1","Brooke J. Burns"," ","8621","98.0662","Judicial"
"Asotin","Asotin, Columbia, Garfield Superior Court Judge Position 1","WRITE-IN"," ","170","1.9338","Judicial"
"Asotin","PUBLIC UTILITY DISTRICT PUBLIC UTILITY COMMISSIONER 2","Don Nuxoll"," ","5647","67.7667","Public Utility"
"Asotin","PUBLIC UTILITY DISTRICT PUBLIC UTILITY COMMISSIONER 2","Amber Jeffreys"," ","2641","31.6933","Public Utility"
"Asotin","PUBLIC UTILITY DISTRICT PUBLIC UTILITY COMMISSIONER 2","WRITE-IN"," ","45","0.54","Public Utility"
"Asotin","CITY OF CLARKSTON City of Clarkston EMS Levy 2024-07","Yes, Levy"," ","1741","65.4511","City/Town"
"Asotin","CITY OF CLARKSTON City of Clarkston EMS Levy 2024-07","No, Levy"," ","919","34.5489","City/Town"
"Benton","Washington State Initiative Measure No. 2066","Yes"," ","62431","64.1529","State Executive"
"Benton","Washington State Initiative Measure No. 2066","No"," ","34885","35.8471","State Executive"
"Benton","Washington State Initiative Measure No. 2109","Yes"," ","47942","48.8312","State Executive"
"Benton","Washington State Initiative Measure No. 2109","No"," ","50237","51.1688","State Executive"
"Benton","Washington State Initiative Measure No. 2117","Yes"," ","53165","54.5148","State Executive"
"Benton","Washington State Initiative Measure No. 2117","No"," ","44359","45.4852","State Executive"
"Benton","Washington State Initiative Measure No. 2124","Yes"," ","53195","55.1535","State Executive"
"Benton","Washington State Initiative Measure No. 2124","No"," ","43254","44.8465","State Executive"
"Benton","United States President/Vice President","Kamala D. Harris / Tim Walz","Democratic Party Nominees","37662","37.4028","Federal"
"Benton","United States President/Vice President","Donald J. Trump / JD Vance","Republican Party Nominees","59555","59.1451","Federal"
"Benton","United States President/Vice President","Robert F. Kennedy Jr. / Nicole Shanahan","We The People Party Nominees","1470","1.4599","Federal"
"Benton","United States President/Vice President","Jill Stein / Rudolph Ware","Green Party Nominees","404","0.4012","Federal"
"Benton","United States President/Vice President","Claudia De la Cruz / Karina Garcia","Socialism and Liberation Party Nominees","138","0.1371","Federal"
"Benton","United States President/Vice President","Rachele Fruit / Dennis Richter","Socialist Workers Party Nominees","13","0.0129","Federal"
"Benton","United States President/Vice President","Joseph Kishore / Jerry White","Socialist Equality Party Nominees","17","0.0169","Federal"
"Benton","United States President/Vice President","Chase Oliver / Mike ter Maat","Libertarian Party Nominees","507","0.5035","Federal"
"Benton","United States President/Vice President","Cornel West / Melina Abdullah","Justice For All Party Nominees","99","0.0983","Federal"
"Benton","United States President/Vice President","Shiva Ayyadurai / Crystal Ellis","Independent Candidates","82","0.0814","Federal"
"Benton","United States President/Vice President","WRITE-IN"," ","746","0.7409","Federal"
"Benton","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","39595","40.5221","Federal"
"Benton","United States U.S. Senator","Dr Raul Garcia","(Prefers GOP Party)","57804","59.1575","Federal"
"Benton","United States U.S. Senator","WRITE-IN"," ","313","0.3203","Federal"
"Benton","Congressional District 4 U.S. Representative","Jerrod Sessler","(Prefers Republican Party)","43717","45.4151","Congressional"
"Benton","Congressional District 4 U.S. Representative","Dan Newhouse","(Prefers Republican Party)","51153","53.1399","Congressional"
"Benton","Congressional District 4 U.S. Representative","WRITE-IN"," ","1391","1.445","Congressional"
"Benton","Washington State Governor","Bob Ferguson","(Prefers Democratic Party)","35632","36.0101","State Executive"
"Benton","Washington State Governor","Dave Reichert","(Prefers Republican Party)","63118","63.7878","State Executive"
"Benton","Washington State Governor","WRITE-IN"," ","200","0.2021","State Executive"
"Benton","Washington State Lt. Governor","Denny Heck","(Prefers Democratic Party)","34049","34.9346","State Executive"
"Benton","Washington State Lt. Governor","Dan Matthews","(Prefers Republican Party)","63309","64.9556","State Executive"
"Benton","Washington State Lt. Governor","WRITE-IN"," ","107","0.1098","State Executive"
"Benton","Washington State Secretary of State","Steve Hobbs","(Prefers Democratic Party)","37963","39.0405","State Executive"
"Benton","Washington State Secretary of State","Dale Whitaker","(Prefers Republican Party)","59194","60.8741","State Executive"
"Benton","Washington State Secretary of State","WRITE-IN"," ","83","0.0854","State Executive"
"Benton","Washington State State Treasurer","Mike Pellicciotti","(Prefers Democratic Party)","36950","38.1616","State Executive"
"Benton","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","59791","61.7516","State Executive"
"Benton","Washington State State Treasurer","WRITE-IN"," ","84","0.0868","State Executive"
"Benton","Washington State State Auditor","Pat (Patrice) McCarthy","(Prefers Democratic Party)","36916","38.1774","State Executive"
"Benton","Washington State State Auditor","Matt Hawkins","(Prefers Republican Party)","59706","61.7461","State Executive"
"Benton","Washington State State Auditor","WRITE-IN"," ","74","0.0765","State Executive"
"Benton","Washington State Attorney General","Pete Serrano","(Prefers Republican Party)","62767","64.6389","State Executive"
"Benton","Washington State Attorney General","Nick Brown","(Prefers Democratic Party)","34262","35.2838","State Executive"
"Benton","Washington State Attorney General","WRITE-IN"," ","75","0.0772","State Executive"
"Benton","Washington State Commissioner of Public Lands","Jaime Herrera Beutler","(Prefers Republican Party)","64393","66.734","State Executive"
"Benton","Washington State Commissioner of Public Lands","Dave Upthegrove","(Prefers Democratic Party)","31896","33.0556","State Executive"
"Benton","Washington State Commissioner of Public Lands","WRITE-IN"," ","203","0.2104","State Executive"
"Benton","Washington State Superintendent of Public Instruction","Chris Reykdal"," ","36399","41.5078","State Executive"
"Benton","Washington State Superintendent of Public Instruction","David Olson"," ","50826","57.9597","State Executive"
"Benton","Washington State Superintendent of Public Instruction","WRITE-IN"," ","467","0.5325","State Executive"
"Benton","Washington State Insurance Commissioner","Patty Kuderer","(Prefers Democratic Party)","35459","36.9553","State Executive"
"Benton","Washington State Insurance Commissioner","Phil Fortunato","(Prefers Republican Party)","60407","62.9561","State Executive"
"Benton","Washington State Insurance Commissioner","WRITE-IN"," ","85","0.0886","State Executive"
"Benton","Legislative District 8 State Representative Pos. 1","Stephanie Barnard","(Prefers Republican Party)","51113","97.3859","Legislative"
"Benton","Legislative District 8 State Representative Pos. 1","WRITE-IN"," ","1372","2.6141","Legislative"
"Benton","Legislative District 8 State Representative Pos. 2","April Connors","(Prefers Republican Party)","44924","70.603","Legislative"
"Benton","Legislative District 8 State Representative Pos. 2","John Christenson","(Prefers Democratic Party)","18603","29.2367","Legislative"
"Benton","Legislative District 8 State Representative Pos. 2","WRITE-IN"," ","102","0.1603","Legislative"
"Benton","LEGISLATIVE DISTRICT 14 State Senator","Curtis King","(Prefers Republican Party)","2459","76.13","Legislative"
"Benton","LEGISLATIVE DISTRICT 14 State Senator","Maria Beltran","(Prefers Democratic Party)","769","23.808","Legislative"
"Benton","LEGISLATIVE DISTRICT 14 State Senator","WRITE-IN"," ","2","0.0619","Legislative"
"Benton","LEGISLATIVE DISTRICT 14 State Representative Pos. 1","Chelsea Dimas","(Prefers Democratic Party)","734","22.9662","Legislative"
"Benton","LEGISLATIVE DISTRICT 14 State Representative Pos. 1","Gloria Mendoza","(Prefers Republican Party)","2452","76.7209","Legislative"
"Benton","LEGISLATIVE DISTRICT 14 State Representative Pos. 1","WRITE-IN"," ","10","0.3129","Legislative"
"Benton","LEGISLATIVE DISTRICT 14 State Representative Pos. 2","Deb Manjarrez","(Prefers Republican Party)","2355","73.9171","Legislative"
"Benton","LEGISLATIVE DISTRICT 14 State Representative Pos. 2","Ana Ruiz Kennedy","(Prefers Democratic Party)","826","25.9259","Legislative"
"Benton","LEGISLATIVE DISTRICT 14 State Representative Pos. 2","WRITE-IN"," ","5","0.1569","Legislative"
"Benton","LEGISLATIVE DISTRICT 15 State Representative Pos. 1","Chris Corry","(Prefers Republican Party)","3178","69.3281","Legislative"
"Benton","LEGISLATIVE DISTRICT 15 State Representative Pos. 1","Chase Foster","(States No Party Preference)","1394","30.4101","Legislative"
"Benton","LEGISLATIVE DISTRICT 15 State Representative Pos. 1","WRITE-IN"," ","12","0.2618","Legislative"
"Benton","LEGISLATIVE DISTRICT 15 State Representative Pos. 2","Jeremie Dufault","(Prefers Republican Party)","2739","62.8211","Legislative"
"Benton","LEGISLATIVE DISTRICT 15 State Representative Pos. 2","Rich Bright","(Prefers Republican Party)","1580","36.2385","Legislative"
"Benton","LEGISLATIVE DISTRICT 15 State Representative Pos. 2","WRITE-IN"," ","41","0.9404","Legislative"
"Benton","LEGISLATIVE DISTRICT 16 State Senator","Perry Dozier","(Prefers Republican Party)","15262","62.3652","Legislative"
"Benton","LEGISLATIVE DISTRICT 16 State Senator","Kari Isaacson","(Prefers Democratic Party)","9187","37.5409","Legislative"
"Benton","LEGISLATIVE DISTRICT 16 State Senator","WRITE-IN"," ","23","0.094","Legislative"
"Benton","LEGISLATIVE DISTRICT 16 State Representative Pos. 1","Mark Klicker","(Prefers Republican Party)","15434","63.1945","Legislative"
"Benton","LEGISLATIVE DISTRICT 16 State Representative Pos. 1","Linda Gunshefski","(Prefers Democratic Party)","8968","36.7195","Legislative"
"Benton","LEGISLATIVE DISTRICT 16 State Representative Pos. 1","WRITE-IN"," ","21","0.086","Legislative"
"Benton","LEGISLATIVE DISTRICT 16 State Representative Pos. 2","Skyler Rude","(Prefers Republican Party)","15520","63.7188","Legislative"
"Benton","LEGISLATIVE DISTRICT 16 State Representative Pos. 2","Craig R Woodard","(Prefers Democratic Party)","8818","36.2031","Legislative"
"Benton","LEGISLATIVE DISTRICT 16 State Representative Pos. 2","WRITE-IN"," ","19","0.078","Legislative"
"Benton","Benton Commissioner District #1","Jerome Delvin","(Prefers Republican Party)","55323","62.5133","County"
"Benton","Benton Commissioner District #1","Jeff J Smart","(Prefers Republican Party)","32297","36.4946","County"
"Benton","Benton Commissioner District #1","WRITE-IN"," ","878","0.9921","County"
"Benton","Benton Commissioner District #3","Will McKay","(Prefers Republican Party)","62146","72.6234","County"
"Benton","Benton Commissioner District #3","Zach Fluharty","(Prefers Republican Party)","22386","26.1601","County"
"Benton","Benton Commissioner District #3","WRITE-IN"," ","1041","1.2165","County"
"Benton","SUPREME COURT Justice Position #02","Sal Mungia"," ","32608","37.4542","Judicial"
"Benton","SUPREME COURT Justice Position #02","Dave Larson"," ","54089","62.1277","Judicial"
"Benton","SUPREME COURT Justice Position #02","WRITE-IN"," ","364","0.4181","Judicial"
"Benton","SUPREME COURT Justice Position #08","Steve Gonzalez"," ","70692","97.9276","Judicial"
"Benton","SUPREME COURT Justice Position #08","WRITE-IN"," ","1496","2.0724","Judicial"
"Benton","SUPREME COURT Justice Position #09","Sheryl Gordon McCloud"," ","69310","97.5757","Judicial"
"Benton","SUPREME COURT Justice Position #09","WRITE-IN"," ","1722","2.4243","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 5","Bronson J. Brown"," ","44773","51.8686","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 5","Shawn P. Sant"," ","41139","47.6587","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 5","WRITE-IN"," ","408","0.4727","Judicial"
"Benton","Benton County PUD Commissioner Pos. 3","Mike Massey"," ","23797","49.7325","Public Utility"
"Benton","Benton County PUD Commissioner Pos. 3","Barry Bush"," ","23791","49.72","Public Utility"
"Benton","Benton County PUD Commissioner Pos. 3","WRITE-IN"," ","262","0.5475","Public Utility"
"Benton","Richland School District 400 PROPOSITION NO. 1","Approved"," ","19707","47.5016","School"
"Benton","Richland School District 400 PROPOSITION NO. 1","Rejected"," ","21780","52.4984","School"
"Chelan","Washington State Initiative Measure No. 2066","Yes"," ","22178","54.8906","State Executive"
