"age_buckets","gender","wa_county","return_method"
"18-24","male","Island","other"
"18-24","male","Jefferson","dropbox"
"18-24","male","Jefferson","mail"
"18-24","male","Jefferson","other"
"18-24","male","King","dropbox"
"18-24","male","King","mail"
"18-24","male","King","other"
"18-24","male","Kitsap","dropbox"
"18-24","male","Kitsap","mail"
"18-24","male","Kitsap","other"
"18-24","male","Kittitas","dropbox"
"18-24","male","Kittitas","mail"
"18-24","male","Kittitas","other"
"18-24","male","Klickitat","dropbox"
"18-24","male","Klickitat","mail"
"18-24","male","Klickitat","other"
"18-24","male","Lewis","dropbox"
"18-24","male","Lewis","mail"
"18-24","male","Lewis","other"
"18-24","male","Lincoln","dropbox"
"18-24","male","Lincoln","mail"
"18-24","male","Lincoln","other"
"18-24","male","Mason","dropbox"
"18-24","male","Mason","mail"
"18-24","male","Mason","other"
"18-24","male","Okanogan","dropbox"
"18-24","male","Okanogan","mail"
"18-24","male","Okanogan","other"
"18-24","male","Pacific","dropbox"
"18-24","male","Pacific","mail"
"18-24","male","Pacific","other"
"18-24","male","Pend Oreille","dropbox"
"18-24","male","Pend Oreille","mail"
"18-24","male","Pend Oreille","other"
"18-24","male","Pierce","dropbox"
"18-24","male","Pierce","mail"
"18-24","male","Pierce","other"
"18-24","male","San Juan","dropbox"
"18-24","male","San Juan","mail"
"18-24","male","San Juan","other"
"18-24","male","Skagit","dropbox"
"18-24","male","Skagit","mail"
"18-24","male","Skagit","other"
"18-24","male","Skamania","dropbox"
"18-24","male","Skamania","mail"
"18-24","male","Skamania","other"
"18-24","male","Snohomish","dropbox"
"18-24","male","Snohomish","mail"
"18-24","male","Snohomish","other"
"18-24","male","Spokane","dropbox"
"18-24","male","Spokane","mail"
"18-24","male","Spokane","other"
"18-24","male","Stevens","dropbox"
"18-24","male","Stevens","mail"
"18-24","male","Stevens","other"
"18-24","male","Thurston","dropbox"
"18-24","male","Thurston","mail"
"18-24","male","Thurston","other"
"18-24","male","Wahkiakum","dropbox"
"18-24","male","Wahkiakum","mail"
"18-24","male","Wahkiakum","other"
"18-24","male","Walla Walla","dropbox"
"18-24","male","Walla Walla","mail"
"18-24","male","Walla Walla","other"
"18-24","male","Whatcom","dropbox"
"18-24","male","Whatcom","mail"
"18-24","male","Whatcom","other"
"18-24","male","Whitman","dropbox"
"18-24","male","Whitman","mail"
"18-24","male","Whitman","other"
"18-24","male","Yakima","dropbox"
"18-24","male","Yakima","mail"
"18-24","male","Yakima","other"
"18-24","unspecified","Adams","dropbox"
"18-24","unspecified","Adams","mail"
"18-24","unspecified","Adams","other"
"18-24","unspecified","Asotin","dropbox"
"18-24","unspecified","Asotin","mail"
"18-24","unspecified","Asotin","other"
"18-24","unspecified","Benton","dropbox"
"18-24","unspecified","Benton","mail"
"18-24","unspecified","Benton","other"
"18-24","unspecified","Chelan","dropbox"
"18-24","unspecified","Chelan","mail"
"18-24","unspecified","Chelan","other"
"18-24","unspecified","Clallam","dropbox"
"18-24","unspecified","Clallam","mail"
"18-24","unspecified","Clallam","other"
"18-24","unspecified","Clark","dropbox"
"18-24","unspecified","Clark","mail"
"18-24","unspecified","Clark","other"
"18-24","unspecified","Columbia","dropbox"
"18-24","unspecified","Columbia","mail"
"18-24","unspecified","Columbia","other"
"18-24","unspecified","Cowlitz","dropbox"
"18-24","unspecified","Cowlitz","mail"
"18-24","unspecified","Cowlitz","other"
"18-24","unspecified","Douglas","dropbox"
"18-24","unspecified","Douglas","mail"
"18-24","unspecified","Douglas","other"
"18-24","unspecified","Ferry","dropbox"
"18-24","unspecified","Ferry","mail"
"18-24","unspecified","Ferry","other"
"18-24","unspecified","Franklin","dropbox"
"18-24","unspecified","Franklin","mail"
"18-24","unspecified","Franklin","other"
"18-24","unspecified","Garfield","dropbox"
"18-24","unspecified","Garfield","mail"
"18-24","unspecified","Garfield","other"
"18-24","unspecified","Grant","dropbox"
"18-24","unspecified","Grant","mail"
"18-24","unspecified","Grant","other"
"18-24","unspecified","Grays Harbor","dropbox"
"18-24","unspecified","Grays Harbor","mail"
"18-24","unspecified","Grays Harbor","other"
"18-24","unspecified","Island","dropbox"
"18-24","unspecified","Island","mail"
"18-24","unspecified","Island","other"
"18-24","unspecified","Jefferson","dropbox"
"18-24","unspecified","Jefferson","mail"
"18-24","unspecified","Jefferson","other"
"18-24","unspecified","King","dropbox"
"18-24","unspecified","King","mail"
"18-24","unspecified","King","other"
"18-24","unspecified","Kitsap","dropbox"
"18-24","unspecified","Kitsap","mail"
"18-24","unspecified","Kitsap","other"
"18-24","unspecified","Kittitas","dropbox"
"18-24","unspecified","Kittitas","mail"
"18-24","unspecified","Kittitas","other"
"18-24","unspecified","Klickitat","dropbox"
"18-24","unspecified","Klickitat","mail"
"18-24","unspecified","Klickitat","other"
"18-24","unspecified","Lewis","dropbox"
"18-24","unspecified","Lewis","mail"
"18-24","unspecified","Lewis","other"
"18-24","unspecified","Lincoln","dropbox"
"18-24","unspecified","Lincoln","mail"
"18-24","unspecified","Lincoln","other"
"18-24","unspecified","Mason","dropbox"
"18-24","unspecified","Mason","mail"
"18-24","unspecified","Mason","other"
"18-24","unspecified","Okanogan","dropbox"
"18-24","unspecified","Okanogan","mail"
"18-24","unspecified","Okanogan","other"
"18-24","unspecified","Pacific","dropbox"
"18-24","unspecified","Pacific","mail"
"18-24","unspecified","Pacific","other"
"18-24","unspecified","Pend Oreille","dropbox"
"18-24","unspecified","Pend Oreille","mail"
"18-24","unspecified","Pend Oreille","other"
"18-24","unspecified","Pierce","dropbox"
"18-24","unspecified","Pierce","mail"
"18-24","unspecified","Pierce","other"
"18-24","unspecified","San Juan","dropbox"
"18-24","unspecified","San Juan","mail"
"18-24","unspecified","San Juan","other"
"18-24","unspecified","Skagit","dropbox"
"18-24","unspecified","Skagit","mail"
"18-24","unspecified","Skagit","other"
"18-24","unspecified","Skamania","dropbox"
"18-24","unspecified","Skamania","mail"
"18-24","unspecified","Skamania","other"
"18-24","unspecified","Snohomish","dropbox"
"18-24","unspecified","Snohomish","mail"
"18-24","unspecified","Snohomish","other"
"18-24","unspecified","Spokane","dropbox"
"18-24","unspecified","Spokane","mail"
"18-24","unspecified","Spokane","other"
"18-24","unspecified","Stevens","dropbox"
"18-24","unspecified","Stevens","mail"
"18-24","unspecified","Stevens","other"
"18-24","unspecified","Thurston","dropbox"
"18-24","unspecified","Thurston","mail"
"18-24","unspecified","Thurston","other"
"18-24","unspecified","Wahkiakum","dropbox"
"18-24","unspecified","Wahkiakum","mail"
"18-24","unspecified","Wahkiakum","other"
"18-24","unspecified","Walla Walla","dropbox"
"18-24","unspecified","Walla Walla","mail"
"18-24","unspecified","Walla Walla","other"
"18-24","unspecified","Whatcom","dropbox"
"18-24","unspecified","Whatcom","mail"
"18-24","unspecified","Whatcom","other"
"18-24","unspecified","Whitman","dropbox"
"18-24","unspecified","Whitman","mail"
"18-24","unspecified","Whitman","other"
"18-24","unspecified","Yakima","dropbox"
"18-24","unspecified","Yakima","mail"
"18-24","unspecified","Yakima","other"
"25-34","female","Adams","dropbox"
"25-34","female","Adams","mail"
"25-34","female","Adams","other"
"25-34","female","Asotin","dropbox"
"25-34","female","Asotin","mail"
"25-34","female","Asotin","other"
"25-34","female","Benton","dropbox"
"25-34","female","Benton","mail"
"25-34","female","Benton","other"
"25-34","female","Chelan","dropbox"
"25-34","female","Chelan","mail"
"25-34","female","Chelan","other"
"25-34","female","Clallam","dropbox"
"25-34","female","Clallam","mail"
"25-34","female","Clallam","other"
"25-34","female","Clark","dropbox"
"25-34","female","Clark","mail"
"25-34","female","Clark","other"
"25-34","female","Columbia","dropbox"
"25-34","female","Columbia","mail"
"25-34","female","Columbia","other"
"25-34","female","Cowlitz","dropbox"
"25-34","female","Cowlitz","mail"
"25-34","female","Cowlitz","other"
"25-34","female","Douglas","dropbox"
"25-34","female","Douglas","mail"
"25-34","female","Douglas","other"
"25-34","female","Ferry","dropbox"
"25-34","female","Ferry","mail"
"25-34","female","Ferry","other"
"25-34","female","Franklin","dropbox"
"25-34","female","Franklin","mail"
"25-34","female","Franklin","other"
"25-34","female","Garfield","dropbox"
"25-34","female","Garfield","mail"
"25-34","female","Garfield","other"
"25-34","female","Grant","dropbox"
"25-34","female","Grant","mail"
"25-34","female","Grant","other"
"25-34","female","Grays Harbor","dropbox"
"25-34","female","Grays Harbor","mail"
"25-34","female","Grays Harbor","other"
"25-34","female","Island","dropbox"
"25-34","female","Island","mail"
"25-34","female","Island","other"
"25-34","female","Jefferson","dropbox"
"25-34","female","Jefferson","mail"
"25-34","female","Jefferson","other"
"25-34","female","King","dropbox"
"25-34","female","King","mail"
"25-34","female","King","other"
"25-34","female","Kitsap","dropbox"
"25-34","female","Kitsap","mail"
"25-34","female","Kitsap","other"
"25-34","female","Kittitas","dropbox"
"25-34","female","Kittitas","mail"
"25-34","female","Kittitas","other"
"25-34","female","Klickitat","dropbox"
"25-34","female","Klickitat","mail"
"25-34","female","Klickitat","other"
"25-34","female","Lewis","dropbox"
"25-34","female","Lewis","mail"
"25-34","female","Lewis","other"
"25-34","female","Lincoln","dropbox"
"25-34","female","Lincoln","mail"
"25-34","female","Lincoln","other"
"25-34","female","Mason","dropbox"
"25-34","female","Mason","mail"
"25-34","female","Mason","other"
"25-34","female","Okanogan","dropbox"
"25-34","female","Okanogan","mail"
"25-34","female","Okanogan","other"
"25-34","female","Pacific","dropbox"
"25-34","female","Pacific","mail"
"25-34","female","Pacific","other"
"25-34","female","Pend Oreille","dropbox"
"25-34","female","Pend Oreille","mail"
"25-34","female","Pend Oreille","other"
"25-34","female","Pierce","dropbox"
"25-34","female","Pierce","mail"
"25-34","female","Pierce","other"
"25-34","female","San Juan","dropbox"
"25-34","female","San Juan","mail"
"25-34","female","San Juan","other"
"25-34","female","Skagit","dropbox"
"25-34","female","Skagit","mail"
"25-34","female","Skagit","other"
"25-34","female","Skamania","dropbox"
"25-34","female","Skamania","mail"
"25-34","female","Skamania","other"
"25-34","female","Snohomish","dropbox"
"25-34","female","Snohomish","mail"
"25-34","female","Snohomish","other"
"25-34","female","Spokane","dropbox"
"25-34","female","Spokane","mail"
"25-34","female","Spokane","other"
"25-34","female","Stevens","dropbox"
"25-34","female","Stevens","mail"
"25-34","female","Stevens","other"
"25-34","female","Thurston","dropbox"
"25-34","female","Thurston","mail"
"25-34","female","Thurston","other"
"25-34","female","Wahkiakum","dropbox"
"25-34","female","Wahkiakum","mail"
"25-34","female","Wahkiakum","other"
"25-34","female","Walla Walla","dropbox"
"25-34","female","Walla Walla","mail"
"25-34","female","Walla Walla","other"
"25-34","female","Whatcom","dropbox"
"25-34","female","Whatcom","mail"
"25-34","female","Whatcom","other"
"25-34","female","Whitman","dropbox"
"25-34","female","Whitman","mail"
"25-34","female","Whitman","other"
"25-34","female","Yakima","dropbox"
"25-34","female","Yakima","mail"
"25-34","female","Yakima","other"
"25-34","male","Adams","dropbox"
"25-34","male","Adams","mail"
"25-34","male","Adams","other"
"25-34","male","Asotin","dropbox"
"25-34","male","Asotin","mail"
"25-34","male","Asotin","other"
"25-34","male","Benton","dropbox"
"25-34","male","Benton","mail"
"25-34","male","Benton","other"
"25-34","male","Chelan","dropbox"
"25-34","male","Chelan","mail"
"25-34","male","Chelan","other"
"25-34","male","Clallam","dropbox"
"25-34","male","Clallam","mail"
"25-34","male","Clallam","other"
"25-34","male","Clark","dropbox"
"25-34","male","Clark","mail"
"25-34","male","Clark","other"
"25-34","male","Columbia","dropbox"
"25-34","male","Columbia","mail"
"25-34","male","Columbia","other"
"25-34","male","Cowlitz","dropbox"
"25-34","male","Cowlitz","mail"
"25-34","male","Cowlitz","other"
"25-34","male","Douglas","dropbox"
"25-34","male","Douglas","mail"
"25-34","male","Douglas","other"
"25-34","male","Ferry","dropbox"
"25-34","male","Ferry","mail"
"25-34","male","Ferry","other"
"25-34","male","Franklin","dropbox"
"25-34","male","Franklin","mail"
"25-34","male","Franklin","other"
"25-34","male","Garfield","dropbox"
"25-34","male","Garfield","mail"
"25-34","male","Garfield","other"
"25-34","male","Grant","dropbox"
"25-34","male","Grant","mail"
"25-34","male","Grant","other"
"25-34","male","Grays Harbor","dropbox"
"25-34","male","Grays Harbor","mail"
"25-34","male","Grays Harbor","other"
"25-34","male","Island","dropbox"
"25-34","male","Island","mail"
"25-34","male","Island","other"
"25-34","male","Jefferson","dropbox"
"25-34","male","Jefferson","mail"
"25-34","male","Jefferson","other"
"25-34","male","King","dropbox"
"25-34","male","King","mail"
"25-34","male","King","other"
"25-34","male","Kitsap","dropbox"
"25-34","male","Kitsap","mail"
"25-34","male","Kitsap","other"
"25-34","male","Kittitas","dropbox"
"25-34","male","Kittitas","mail"
"25-34","male","Kittitas","other"
"25-34","male","Klickitat","dropbox"
"25-34","male","Klickitat","mail"
"25-34","male","Klickitat","other"
"25-34","male","Lewis","dropbox"
"25-34","male","Lewis","mail"
"25-34","male","Lewis","other"
"25-34","male","Lincoln","dropbox"
"25-34","male","Lincoln","mail"
"25-34","male","Lincoln","other"
"25-34","male","Mason","dropbox"
"25-34","male","Mason","mail"
"25-34","male","Mason","other"
"25-34","male","Okanogan","dropbox"
"25-34","male","Okanogan","mail"
"25-34","male","Okanogan","other"
"25-34","male","Pacific","dropbox"
"25-34","male","Pacific","mail"
"25-34","male","Pacific","other"
"25-34","male","Pend Oreille","dropbox"
"25-34","male","Pend Oreille","mail"
"25-34","male","Pend Oreille","other"
"25-34","male","Pierce","dropbox"
"25-34","male","Pierce","mail"
"25-34","male","Pierce","other"
"25-34","male","San Juan","dropbox"
"25-34","male","San Juan","mail"
"25-34","male","San Juan","other"
"25-34","male","Skagit","dropbox"
"25-34","male","Skagit","mail"
"25-34","male","Skagit","other"
"25-34","male","Skamania","dropbox"
"25-34","male","Skamania","mail"
"25-34","male","Skamania","other"
"25-34","male","Snohomish","dropbox"
"25-34","male","Snohomish","mail"
"25-34","male","Snohomish","other"
"25-34","male","Spokane","dropbox"
"25-34","male","Spokane","mail"
"25-34","male","Spokane","other"
"25-34","male","Stevens","dropbox"
"25-34","male","Stevens","mail"
"25-34","male","Stevens","other"
"25-34","male","Thurston","dropbox"
"25-34","male","Thurston","mail"
"25-34","male","Thurston","other"
"25-34","male","Wahkiakum","dropbox"
"25-34","male","Wahkiakum","mail"
"25-34","male","Wahkiakum","other"
"25-34","male","Walla Walla","dropbox"
"25-34","male","Walla Walla","mail"
"25-34","male","Walla Walla","other"
"25-34","male","Whatcom","dropbox"
"25-34","male","Whatcom","mail"
"25-34","male","Whatcom","other"
"25-34","male","Whitman","dropbox"
"25-34","male","Whitman","mail"
"25-34","male","Whitman","other"
"25-34","male","Yakima","dropbox"
"25-34","male","Yakima","mail"
"25-34","male","Yakima","other"
"25-34","unspecified","Adams","dropbox"
"25-34","unspecified","Adams","mail"
"25-34","unspecified","Adams","other"
"25-34","unspecified","Asotin","dropbox"
"25-34","unspecified","Asotin","mail"
"25-34","unspecified","Asotin","other"
"25-34","unspecified","Benton","dropbox"
"25-34","unspecified","Benton","mail"
"25-34","unspecified","Benton","other"
"25-34","unspecified","Chelan","dropbox"
"25-34","unspecified","Chelan","mail"
"25-34","unspecified","Chelan","other"
"25-34","unspecified","Clallam","dropbox"
"25-34","unspecified","Clallam","mail"
"25-34","unspecified","Clallam","other"
"25-34","unspecified","Clark","dropbox"
"25-34","unspecified","Clark","mail"
"25-34","unspecified","Clark","other"
"25-34","unspecified","Columbia","dropbox"
"25-34","unspecified","Columbia","mail"
"25-34","unspecified","Columbia","other"
"25-34","unspecified","Cowlitz","dropbox"
"25-34","unspecified","Cowlitz","mail"
"25-34","unspecified","Cowlitz","other"
"25-34","unspecified","Douglas","dropbox"
"25-34","unspecified","Douglas","mail"
"25-34","unspecified","Douglas","other"
"25-34","unspecified","Ferry","dropbox"
"25-34","unspecified","Ferry","mail"
"25-34","unspecified","Ferry","other"
"25-34","unspecified","Franklin","dropbox"
"25-34","unspecified","Franklin","mail"
"25-34","unspecified","Franklin","other"
"25-34","unspecified","Garfield","dropbox"
"25-34","unspecified","Garfield","mail"
"25-34","unspecified","Garfield","other"
"25-34","unspecified","Grant","dropbox"
"25-34","unspecified","Grant","mail"
"25-34","unspecified","Grant","other"
"25-34","unspecified","Grays Harbor","dropbox"
"25-34","unspecified","Grays Harbor","mail"
"25-34","unspecified","Grays Harbor","other"
"25-34","unspecified","Island","dropbox"
"25-34","unspecified","Island","mail"
"25-34","unspecified","Island","other"
"25-34","unspecified","Jefferson","dropbox"
"25-34","unspecified","Jefferson","mail"
"25-34","unspecified","Jefferson","other"
"25-34","unspecified","King","dropbox"
"25-34","unspecified","King","mail"
"25-34","unspecified","King","other"
"25-34","unspecified","Kitsap","dropbox"
"25-34","unspecified","Kitsap","mail"
"25-34","unspecified","Kitsap","other"
"25-34","unspecified","Kittitas","dropbox"
"25-34","unspecified","Kittitas","mail"
"25-34","unspecified","Kittitas","other"
"25-34","unspecified","Klickitat","dropbox"
"25-34","unspecified","Klickitat","mail"
"25-34","unspecified","Klickitat","other"
"25-34","unspecified","Lewis","dropbox"
"25-34","unspecified","Lewis","mail"
"25-34","unspecified","Lewis","other"
"25-34","unspecified","Lincoln","dropbox"
"25-34","unspecified","Lincoln","mail"
"25-34","unspecified","Lincoln","other"
"25-34","unspecified","Mason","dropbox"
"25-34","unspecified","Mason","mail"
"25-34","unspecified","Mason","other"
"25-34","unspecified","Okanogan","dropbox"
"25-34","unspecified","Okanogan","mail"
"25-34","unspecified","Okanogan","other"
"25-34","unspecified","Pacific","dropbox"
"25-34","unspecified","Pacific","mail"
"25-34","unspecified","Pacific","other"
"25-34","unspecified","Pend Oreille","dropbox"
"25-34","unspecified","Pend Oreille","mail"
"25-34","unspecified","Pend Oreille","other"
"25-34","unspecified","Pierce","dropbox"
"25-34","unspecified","Pierce","mail"
"25-34","unspecified","Pierce","other"
"25-34","unspecified","San Juan","dropbox"
"25-34","unspecified","San Juan","mail"
"25-34","unspecified","San Juan","other"
"25-34","unspecified","Skagit","dropbox"
"25-34","unspecified","Skagit","mail"
"25-34","unspecified","Skagit","other"
"25-34","unspecified","Skamania","dropbox"
"25-34","unspecified","Skamania","mail"
"25-34","unspecified","Skamania","other"
"25-34","unspecified","Snohomish","dropbox"
"25-34","unspecified","Snohomish","mail"
"25-34","unspecified","Snohomish","other"
"25-34","unspecified","Spokane","dropbox"
"25-34","unspecified","Spokane","mail"
"25-34","unspecified","Spokane","other"
"25-34","unspecified","Stevens","dropbox"
"25-34","unspecified","Stevens","mail"
"25-34","unspecified","Stevens","other"
"25-34","unspecified","Thurston","dropbox"
"25-34","unspecified","Thurston","mail"
"25-34","unspecified","Thurston","other"
"25-34","unspecified","Wahkiakum","dropbox"
"25-34","unspecified","Wahkiakum","mail"
"25-34","unspecified","Wahkiakum","other"
"25-34","unspecified","Walla Walla","dropbox"
"25-34","unspecified","Walla Walla","mail"
"25-34","unspecified","Walla Walla","other"
"25-34","unspecified","Whatcom","dropbox"
"25-34","unspecified","Whatcom","mail"
"25-34","unspecified","Whatcom","other"
"25-34","unspecified","Whitman","dropbox"
"25-34","unspecified","Whitman","mail"
"25-34","unspecified","Whitman","other"
"25-34","unspecified","Yakima","dropbox"
"25-34","unspecified","Yakima","mail"
"25-34","unspecified","Yakima","other"
"35-44","female","Adams","dropbox"
"35-44","female","Adams","mail"
"35-44","female","Adams","other"
"35-44","female","Asotin","dropbox"
"35-44","female","Asotin","mail"
"35-44","female","Asotin","other"
"35-44","female","Benton","dropbox"
"35-44","female","Benton","mail"
"35-44","female","Benton","other"
"35-44","female","Chelan","dropbox"
"35-44","female","Chelan","mail"
"35-44","female","Chelan","other"
"35-44","female","Clallam","dropbox"
"35-44","female","Clallam","mail"
"35-44","female","Clallam","other"
"35-44","female","Clark","dropbox"
"35-44","female","Clark","mail"
"35-44","female","Clark","other"
"35-44","female","Columbia","dropbox"
"35-44","female","Columbia","mail"
"35-44","female","Columbia","other"
"35-44","female","Cowlitz","dropbox"
"35-44","female","Cowlitz","mail"
"35-44","female","Cowlitz","other"
"35-44","female","Douglas","dropbox"
"35-44","female","Douglas","mail"
"35-44","female","Douglas","other"
"35-44","female","Ferry","dropbox"
"35-44","female","Ferry","mail"
"35-44","female","Ferry","other"
"35-44","female","Franklin","dropbox"
"35-44","female","Franklin","mail"
"35-44","female","Franklin","other"
"35-44","female","Garfield","dropbox"
"35-44","female","Garfield","mail"
"35-44","female","Garfield","other"
"35-44","female","Grant","dropbox"
"35-44","female","Grant","mail"
"35-44","female","Grant","other"
"35-44","female","Grays Harbor","dropbox"
"35-44","female","Grays Harbor","mail"
"35-44","female","Grays Harbor","other"
"35-44","female","Island","dropbox"
"35-44","female","Island","mail"
"35-44","female","Island","other"
"35-44","female","Jefferson","dropbox"
"35-44","female","Jefferson","mail"
"35-44","female","Jefferson","other"
"35-44","female","King","dropbox"
"35-44","female","King","mail"
"35-44","female","King","other"
"35-44","female","Kitsap","dropbox"
"35-44","female","Kitsap","mail"
"35-44","female","Kitsap","other"
"35-44","female","Kittitas","dropbox"
"35-44","female","Kittitas","mail"
"35-44","female","Kittitas","other"
"35-44","female","Klickitat","dropbox"
"35-44","female","Klickitat","mail"
"35-44","female","Klickitat","other"
"35-44","female","Lewis","dropbox"
"35-44","female","Lewis","mail"
"35-44","female","Lewis","other"
"35-44","female","Lincoln","dropbox"
"35-44","female","Lincoln","mail"
"35-44","female","Lincoln","other"
"35-44","female","Mason","dropbox"
"35-44","female","Mason","mail"
"35-44","female","Mason","other"
"35-44","female","Okanogan","dropbox"
"35-44","female","Okanogan","mail"
"35-44","female","Okanogan","other"
"35-44","female","Pacific","dropbox"
"35-44","female","Pacific","mail"
"35-44","female","Pacific","other"
"35-44","female","Pend Oreille","dropbox"
"35-44","female","Pend Oreille","mail"
"35-44","female","Pend Oreille","other"
"35-44","female","Pierce","dropbox"
"35-44","female","Pierce","mail"
"35-44","female","Pierce","other"
"35-44","female","San Juan","dropbox"
"35-44","female","San Juan","mail"
"35-44","female","San Juan","other"
"35-44","female","Skagit","dropbox"
"35-44","female","Skagit","mail"
"35-44","female","Skagit","other"
"35-44","female","Skamania","dropbox"
"35-44","female","Skamania","mail"
"35-44","female","Skamania","other"
"35-44","female","Snohomish","dropbox"
"35-44","female","Snohomish","mail"
"35-44","female","Snohomish","other"
"35-44","female","Spokane","dropbox"
"35-44","female","Spokane","mail"
"35-44","female","Spokane","other"
