voter_id,what_party_0,what_party_1,what_party_2,what_party_3,what_party_4,stability,stability_score,consistency_level
89,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
74,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
100,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
51,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
86,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
78,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
72,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
2,democrat,unknown,democrat,unknown,unknown,"[0,2,0,2,2]",0.40,low
5,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
82,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
13,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
94,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
9,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
53,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
8,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
31,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
85,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
75,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
98,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
20,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
39,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
87,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
23,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
37,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
97,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
6,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
58,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
52,democrat,unknown,democrat,democrat,democrat,"[0,2,0,0,0]",0.60,medium
19,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
43,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
92,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
27,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
50,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
28,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
34,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
65,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
76,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
68,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
40,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
48,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
24,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
21,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
44,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
36,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
73,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
15,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
69,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
91,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
18,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
79,democrat,unknown,democrat,democrat,democrat,"[0,2,0,0,0]",0.60,medium
57,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
64,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
35,democrat,unknown,democrat,democrat,democrat,"[0,2,0,0,0]",0.60,medium
95,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
42,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
32,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
41,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
61,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
70,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
3,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
59,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
80,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
93,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
29,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
71,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
11,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
83,democrat,unknown,democrat,democrat,democrat,"[0,2,0,0,0]",0.60,medium
56,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
33,democrat,democrat,democrat,democrat,democrat,"[0,0,0,0,0]",1.00,high
88,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
60,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
12,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
4,republican,republican,republican,republican,republican,"[1,1,1,1,1]",1.00,high
54,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
55,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
