voter_id,supreme_court_0,supreme_court_1,supreme_court_2,supreme_court_3,supreme_court_4,stability,stability_score,consistency_level
5,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
83,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
27,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
43,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
25,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
57,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
15,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
47,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
33,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
42,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
77,larson,larson,unknown,larson,larson,"[0,0,1,0,0]",0.80,high
86,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
17,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
34,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
19,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
28,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
79,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
81,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
53,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
39,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
80,larson,larson,unknown,larson,larson,"[0,0,1,0,0]",0.80,high
64,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
76,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
51,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
85,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
3,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
46,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
96,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
69,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
89,larson,larson,unknown,larson,larson,"[0,0,1,0,0]",0.80,high
70,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
94,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
6,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
4,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
16,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
67,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
56,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
48,larson,larson,unknown,larson,larson,"[0,0,1,0,0]",0.80,high
50,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
92,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
37,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
20,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
71,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
73,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
38,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
18,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
91,larson,larson,unknown,larson,larson,"[0,0,1,0,0]",0.80,high
75,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
97,larson,larson,unknown,larson,larson,"[0,0,1,0,0]",0.80,high
10,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
32,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
1,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
95,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
59,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
99,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
7,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
78,larson,larson,unknown,larson,larson,"[0,0,1,0,0]",0.80,high
12,larson,larson,unknown,larson,larson,"[0,0,1,0,0]",0.80,high
21,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
49,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
26,larson,larson,unknown,larson,larson,"[0,0,1,0,0]",0.80,high
31,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
40,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
41,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
24,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
72,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
