voter_id,corporation_profit_0,corporation_profit_1,corporation_profit_2,corporation_profit_3,corporation_profit_4,stability,stability_score,consistency_level
29,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
89,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
83,a,a,a,a,unknown,"[0,0,0,0,2]",0.60,medium
21,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
98,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
51,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
31,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
36,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
94,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
12,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
41,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
19,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
20,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
27,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
75,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
18,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
54,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
55,unknown,unknown,b,b,unknown,"[2,2,1,1,2]",0.40,low
34,b,b,unknown,unknown,a,"[1,1,2,2,0]",0.20,low
37,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
66,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
5,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
58,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
35,a,a,a,a,unknown,"[0,0,0,0,2]",0.60,medium
79,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
91,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
40,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
57,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
92,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
80,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
39,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
77,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
6,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
62,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
49,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
43,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
60,b,b,b,b,b,"[1,1,1,1,1]",1.00,high
84,a,a,a,a,unknown,"[0,0,0,0,2]",0.60,medium
71,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
70,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
96,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
26,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
87,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
52,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
73,b,b,b,b,a,"[1,1,1,1,0]",0.60,medium
68,a,a,a,a,b,"[0,0,0,0,1]",0.60,medium
