voter_id,taxes_initiative_0,taxes_initiative_1,taxes_initiative_2,taxes_initiative_3,taxes_initiative_4,stability,stability_score,consistency_level
60,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
6,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
71,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
61,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
99,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
7,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
26,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
59,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
88,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
1,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
23,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
97,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
83,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
22,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
73,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
34,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
8,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
31,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
80,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
78,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
32,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
28,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
92,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
90,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
27,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
54,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
21,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
4,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
74,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
20,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
24,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
85,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
50,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
94,no,unknown,no,unknown,unknown,"[0,1,0,1,1]",0.60,medium
11,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
58,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
5,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
42,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
57,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
98,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
16,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
19,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
36,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
77,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
82,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
9,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
44,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
67,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
29,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
10,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
81,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
93,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
15,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
64,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
70,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
3,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
33,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
30,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
25,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
12,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
66,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
95,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
13,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
48,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
62,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
17,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
89,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
41,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
69,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
86,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
100,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
35,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
72,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
