voter_id,energy_initiative_0,energy_initiative_1,energy_initiative_2,energy_initiative_3,energy_initiative_4,stability,stability_score,consistency_level
93,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
76,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
49,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
68,unknown,no,unknown,no,unknown,"[1,0,1,0,1]",0.60,medium
37,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
26,unknown,no,unknown,no,unknown,"[1,0,1,0,1]",0.60,medium
60,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
56,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
8,unknown,no,unknown,no,unknown,"[1,0,1,0,1]",0.60,medium
40,unknown,no,unknown,no,unknown,"[1,0,1,0,1]",0.60,medium
78,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
51,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
89,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
27,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
21,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
84,unknown,no,unknown,no,unknown,"[1,0,1,0,1]",0.60,medium
72,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
67,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
15,unknown,no,unknown,no,unknown,"[1,0,1,0,1]",0.60,medium
16,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
83,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
45,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
96,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
63,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
97,unknown,no,unknown,no,unknown,"[1,0,1,0,1]",0.60,medium
39,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
73,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
61,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
59,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
77,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
1,unknown,no,unknown,no,unknown,"[1,0,1,0,1]",0.60,medium
24,unknown,no,unknown,no,unknown,"[1,0,1,0,1]",0.60,medium
12,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
48,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
94,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
46,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
90,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
5,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
86,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
31,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
95,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
52,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
43,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
29,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
98,unknown,no,unknown,no,unknown,"[1,0,1,0,1]",0.60,medium
23,unknown,no,unknown,no,unknown,"[1,0,1,0,1]",0.60,medium
92,unknown,no,unknown,no,unknown,"[1,0,1,0,1]",0.60,medium
