voter_id,candidates_view_0,candidates_view_1,candidates_view_2,candidates_view_3,candidates_view_4,stability,stability_score,consistency_level
81,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
91,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
12,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
62,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
86,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
42,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
97,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
25,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
52,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
50,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
61,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
40,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
1,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
66,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
29,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
4,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
84,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
95,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
65,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
74,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
21,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
19,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
56,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
77,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
27,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
7,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
64,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
60,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
73,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
9,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
47,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
6,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
75,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
88,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
14,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
51,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
68,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
16,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
72,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
39,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
94,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
96,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
24,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
83,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
35,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
41,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
70,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
99,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
55,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
85,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
93,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
48,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
32,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
20,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
43,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
57,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
80,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
15,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
37,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
