voter_id,state_treasurer_0,state_treasurer_1,state_treasurer_2,state_treasurer_3,state_treasurer_4,stability,stability_score,consistency_level
98,mike,sharon,sharon,mike,sharon,"[0,1,1,0,1]",0.60,medium
83,sharon,sharon,mike,sharon,mike,"[1,1,0,1,0]",0.60,medium
30,mike,mike,sharon,mike,sharon,"[0,0,1,0,1]",0.60,medium
46,sharon,sharon,mike,sharon,mike,"[1,1,0,1,0]",0.60,medium
90,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
94,mike,sharon,mike,mike,mike,"[0,1,0,0,0]",0.80,high
33,sharon,mike,mike,sharon,mike,"[1,0,0,1,0]",0.60,medium
48,mike,mike,sharon,mike,sharon,"[0,0,1,0,1]",0.60,medium
73,sharon,sharon,mike,sharon,mike,"[1,1,0,1,0]",0.60,medium
91,mike,sharon,mike,mike,mike,"[0,1,0,0,0]",0.80,high
23,sharon,sharon,sharon,mike,sharon,"[1,1,1,0,1]",0.80,high
25,mike,sharon,sharon,,sharon,"[0,1,1,-1,1]",0.60,medium
35,sharon,mike,mike,sharon,mike,"[1,0,0,1,0]",0.60,medium
60,mike,mike,mike,sharon,sharon,"[0,0,0,1,1]",0.60,medium
70,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
45,mike,sharon,mike,mike,mike,"[0,1,0,0,0]",0.80,high
24,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
17,mike,sharon,mike,mike,mike,"[0,1,0,0,0]",0.80,high
15,sharon,mike,sharon,sharon,sharon,"[1,0,1,1,1]",0.80,high
21,mike,sharon,mike,mike,mike,"[0,1,0,0,0]",0.80,high
100,sharon,,mike,,mike,"[1,-1,0,-1,0]",0.40,low
96,mike,,sharon,,sharon,"[0,-1,1,-1,1]",0.40,low
12,sharon,sharon,mike,sharon,mike,"[1,1,0,1,0]",0.60,medium
11,mike,mike,sharon,mike,sharon,"[0,0,1,0,1]",0.60,medium
63,sharon,sharon,sharon,sharon,mike,"[1,1,1,1,0]",0.80,high
68,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
9,,mike,sharon,,sharon,"[-1,0,1,-1,1]",0.40,low
40,,mike,sharon,mike,sharon,"[-1,0,1,0,1]",0.40,low
85,,sharon,sharon,,sharon,"[-1,1,1,-1,1]",0.60,medium
