voter_id,easy_to_predict_0,easy_to_predict_1,easy_to_predict_2,easy_to_predict_3,easy_to_predict_4,stability,stability_score,consistency_level
91,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
63,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
34,no,no,no,,no,"[0,0,0,-1,0]",0.80,high
86,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
57,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
79,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
68,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
92,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
14,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
85,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
37,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
43,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
28,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
69,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
78,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
88,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
75,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
99,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
50,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
41,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
55,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
93,no,,no,no,,"[0,-1,0,0,-1]",0.60,medium
44,no,,no,no,no,"[0,-1,0,0,0]",0.80,high
100,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
89,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
90,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
4,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
82,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
87,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
25,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
70,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
35,,no,,no,no,"[-1,0,-1,0,0]",0.60,medium
67,,no,,no,no,"[-1,0,-1,0,0]",0.60,medium
16,,no,,no,no,"[-1,0,-1,0,0]",0.60,medium
15,,no,,no,no,"[-1,0,-1,0,0]",0.60,medium
27,,no,,,no,"[-1,0,-1,-1,0]",0.60,medium
74,,no,,,no,"[-1,0,-1,-1,0]",0.60,medium
6,,no,,,no,"[-1,0,-1,-1,0]",0.60,medium
2,,no,,,no,"[-1,0,-1,-1,0]",0.60,medium
81,,no,,,no,"[-1,0,-1,-1,0]",0.60,medium
98,,no,,,no,"[-1,0,-1,-1,0]",0.60,medium
80,,no,,,no,"[-1,0,-1,-1,0]",0.60,medium
18,,no,,,no,"[-1,0,-1,-1,0]",0.60,medium
17,,no,,,no,"[-1,0,-1,-1,0]",0.60,medium
