voter_id,vote_democrat_0,vote_democrat_1,vote_democrat_2,vote_democrat_3,vote_democrat_4,stability,stability_score,consistency_level
66,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
49,no,no,no,,no,"[0,0,0,-1,0]",0.80,high
37,yes,yes,yes,,yes,"[1,1,1,-1,1]",0.80,high
40,no,,no,,,"[0,-1,0,-1,-1]",0.60,medium
13,yes,no,yes,yes,yes,"[1,0,1,1,1]",0.80,high
83,no,yes,yes,yes,yes,"[0,1,1,1,1]",0.80,high
82,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
22,no,,no,,,"[0,-1,0,-1,-1]",0.60,medium
91,,no,yes,no,no,"[-1,0,1,0,0]",0.60,medium
50,,no,yes,yes,no,"[-1,0,1,1,0]",0.40,low
