voter_id,president_vote_0,president_vote_1,president_vote_2,president_vote_3,president_vote_4,stability,stability_score,consistency_level
35,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
99,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
85,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
36,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
58,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
74,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
68,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
57,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
53,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
1,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
77,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
89,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
32,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
25,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
62,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
40,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
30,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
10,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
72,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
46,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
59,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
78,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
55,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
76,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
54,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
44,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
6,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
18,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
81,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
13,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
31,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
64,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
65,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
38,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
9,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
88,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
100,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
71,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
12,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
