voter_id,supreme_court_0,supreme_court_1,supreme_court_2,supreme_court_3,supreme_court_4,stability,stability_score,consistency_level
3,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
26,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
23,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
51,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
82,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
39,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
11,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
34,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
18,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
4,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
22,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
84,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
56,unknown,unknown,,unknown,unknown,"[2,2,-1,2,2]",0.60,medium
95,larson,larson,,larson,larson,"[0,0,-1,0,0]",0.60,medium
86,unknown,unknown,,unknown,unknown,"[2,2,-1,2,2]",0.60,medium
55,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
61,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
68,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
38,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
72,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
15,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
35,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
88,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
79,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
90,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
40,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
63,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
100,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
58,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
27,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
94,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
5,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
54,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
65,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
44,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
43,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
76,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
59,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
28,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
32,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
78,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
19,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
8,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
98,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
10,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
83,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
91,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
97,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
20,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
13,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
29,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
52,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
85,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
24,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
30,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
33,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
66,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
7,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
9,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
46,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
45,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
64,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
1,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
14,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
16,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
6,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
50,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
31,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
