voter_id,state_treasurer_0,state_treasurer_1,state_treasurer_2,state_treasurer_3,state_treasurer_4,stability,stability_score,consistency_level
58,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
46,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
5,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
99,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
74,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
11,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
29,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
40,mike,unknown,mike,mike,mike,"[0,2,0,0,0]",0.60,medium
72,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
63,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
75,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
85,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
25,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
15,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
90,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
41,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
68,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
62,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
20,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
35,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
92,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
7,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
97,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
26,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
82,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
81,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
16,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
30,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
64,sharon,unknown,sharon,sharon,sharon,"[1,2,1,1,1]",0.60,medium
89,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
66,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
31,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
59,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
21,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
76,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
49,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
44,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
94,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
60,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
50,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
65,mike,mike,mike,mike,mike,"[0,0,0,0,0]",1.00,high
56,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
36,sharon,sharon,sharon,sharon,sharon,"[1,1,1,1,1]",1.00,high
48,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
