csv_file,response_to_number,classification_rules
family_covariates_candidates_view.csv,a=0; b=1,score=max(count(X))/5; perfectly_stable_X: 5X/0other; strongly_X: 4X/1other; weak_X: 3X/2other; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
family_covariates_carbon_tax_initiative.csv,no=0; yes=1,score=max(count(X))/5; perfectly_stable_X: 5X/0other; strongly_X: 4X/1other; weak_X: 3X/2other; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
family_covariates_corporation_profit.csv,a=0; b=1; unknown=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
family_covariates_easy_to_predict.csv,no=0,score=max(count(X))/5; perfectly_stable_X: 5X/0other; strongly_X: 4X/1other; weak_X: 3X/2other; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
family_covariates_energy_initiative.csv,no=0; unknown=1; yes=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
family_covariates_gov_services.csv,a=0; b=1; unknown=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
family_covariates_governor.csv,bob=0; dave=1; unknown=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
family_covariates_insurance_initiative.csv,no=0; unknown=1; yes=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
family_covariates_president_vote.csv,biden=0; donald=1; joe=2; trump=3; unknown=4,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
family_covariates_religion_government.csv,a=0; b=1,score=max(count(X))/5; perfectly_stable_X: 5X/0other; strongly_X: 4X/1other; weak_X: 3X/2other; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
family_covariates_state_treasurer.csv,mike=0; sharon=1; unknown=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
family_covariates_supreme_court.csv,larson=0; mungia=1; unknown=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
family_covariates_taxes_initiative.csv,no=0; unknown=1; yes=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
family_covariates_vote_democrat.csv,no=0; unknown=1; yes=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
family_covariates_vote_republican.csv,no=0; unknown=1; yes=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
family_covariates_vote_third_party.csv,no=0; yes=1,score=max(count(X))/5; perfectly_stable_X: 5X/0other; strongly_X: 4X/1other; weak_X: 3X/2other; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
family_covariates_wa_senator.csv,maria=0; raul=1; unknown=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
family_covariates_what_party.csv,no=0; unknown=1; yes=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
ses_covariates_attorney_general.csv,nick=0; pete=1; unknown=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
ses_covariates_candidates_view.csv,a=0; b=1,score=max(count(X))/5; perfectly_stable_X: 5X/0other; strongly_X: 4X/1other; weak_X: 3X/2other; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
ses_covariates_carbon_tax_initiative.csv,no=0; unknown=1; yes=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
ses_covariates_corporation_profit.csv,a=0; b=1; unknown=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
ses_covariates_easy_to_predict.csv,no=0; unknown=1; yes=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
ses_covariates_energy_initiative.csv,no=0; unknown=1; yes=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
ses_covariates_gov_services.csv,a=0; b=1; unknown=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
ses_covariates_governor.csv,bob=0; dave=1; unknown=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
ses_covariates_insurance_initiative.csv,no=0; unknown=1; yes=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
ses_covariates_president_vote.csv,biden=0; trump=1; unknown=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
ses_covariates_religion_government.csv,a=0; b=1; unknown=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
ses_covariates_state_treasurer.csv,mike=0; sharon=1; unknown=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
ses_covariates_supreme_court.csv,dave=0; larson=1; mungia=2; sal=3; unknown=4,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
ses_covariates_taxes_initiative.csv,no=0; unknown=1; yes=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
ses_covariates_vote_democrat.csv,no=0; unknown=1; yes=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
ses_covariates_vote_republican.csv,no=0; unknown=1; yes=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
ses_covariates_vote_third_party.csv,no=0; unknown=1; yes=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
ses_covariates_wa_senator.csv,maria=0; raul=1; unknown=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
ses_covariates_what_party.csv,no=0; unknown=1; yes=2,score=normalized HHI concentration for 5 responses; perfectly_stable_X: 5 of same label; strongly_X: top count=4; weak_X: top count=3; very_unstable_split: top count=2; highly_unstable_all_different: top count=1
