voter_id,vote_third_party_0,vote_third_party_1,vote_third_party_2,vote_third_party_3,vote_third_party_4,stability,stability_score,consistency_level
45,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
52,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
29,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
60,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
21,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
70,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
5,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
3,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
87,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
37,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
84,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
30,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
49,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
76,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
74,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
35,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
28,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
92,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
34,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
54,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
78,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
85,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
15,yes,yes,yes,yes,yes,"[1,1,1,1,1]",1.00,high
