voter_id,corporation_profit_0,corporation_profit_1,corporation_profit_2,corporation_profit_3,corporation_profit_4,stability,stability_score,consistency_level
83,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
80,b,b,a,a,b,"[1,1,0,0,1]",0.60,medium
67,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
28,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
3,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
54,b,b,a,a,b,"[1,1,0,0,1]",0.60,medium
7,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
14,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
10,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
66,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
93,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
71,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
77,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
16,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
98,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
57,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
53,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
5,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
55,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
25,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
52,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
82,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
26,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
92,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
73,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
48,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
21,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
33,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
32,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
88,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
78,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
61,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
42,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
91,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
58,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
68,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
36,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
96,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
60,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
8,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
31,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
17,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
23,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
100,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
87,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
69,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
56,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
95,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
29,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
76,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
43,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
86,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
97,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
99,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
12,b,b,a,a,b,"[1,1,0,0,1]",0.60,medium
84,b,b,a,a,b,"[1,1,0,0,1]",0.60,medium
35,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
59,b,b,a,a,b,"[1,1,0,0,1]",0.60,medium
79,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
1,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
51,b,b,a,a,b,"[1,1,0,0,1]",0.60,medium
30,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
74,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
46,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
50,a,a,a,a,a,"[0,0,0,0,0]",1.00,high
