voter_id,vote_republican_0,vote_republican_1,vote_republican_2,vote_republican_3,vote_republican_4,stability,stability_score,consistency_level
43,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
53,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
8,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
58,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
23,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
85,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
99,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
78,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
81,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
46,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
32,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
82,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
20,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
60,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
96,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
52,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
75,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
47,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
68,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
83,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
94,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
41,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
61,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
17,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
18,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
26,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
95,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
93,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
38,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
35,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
10,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
70,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
9,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
65,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
66,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
91,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
3,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
59,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
36,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
31,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
4,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
55,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
29,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
71,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
92,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
6,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
97,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
90,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
37,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
72,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
77,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
30,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
74,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
2,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
7,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
40,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
11,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
48,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
42,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
51,yes,yes,yes,yes,yes,"[2,2,2,2,2]",1.00,high
56,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
79,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
87,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
15,no,no,no,no,no,"[0,0,0,0,0]",1.00,high
1,unknown,unknown,unknown,unknown,unknown,"[1,1,1,1,1]",1.00,high
