"voter_id","county","age","gender"
"102","Chelan","25-34","Male"
"103","Whatcom","25-34","Female"
"104","Clallam","55-64","Male"
"105","Clark","25-34","Male"
"106","Skagit","65 and over","Female"
"107","Mason","45-54","Female"
"108","Spokane","65 and over","Male"
"109","Snohomish","18-24","Male"
"110","Skagit","35-44","Female"
"111","Lewis","35-44","Male"
"112","Pierce","65 and over","Female"
"113","Clallam","65 and over","Female"
"114","Clark","45-54","Male"
"115","Snohomish","18-24","Male"
"116","King","18-24","Male"
"117","Pierce","65 and over","Male"
"118","Pend Oreille","65 and over","Male"
"119","Pierce","65 and over","Male"
"120","Kitsap","65 and over","Female"
"121","Kitsap","45-54","Female"
"122","Snohomish","65 and over","Unknown/Other"
"123","Pierce","65 and over","Male"
"124","Snohomish","45-54","Male"
"125","Spokane","35-44","Female"
"126","King","55-64","Female"
"127","Kitsap","25-34","Male"
"128","King","55-64","Male"
"129","Lincoln","65 and over","Male"
"130","Skagit","35-44","Male"
"131","King","35-44","Unknown/Other"
"132","Snohomish","65 and over","Female"
"133","Clark","45-54","Female"
"134","Spokane","25-34","Male"
"135","Kitsap","65 and over","Male"
"136","Benton","18-24","Female"
"137","King","25-34","Female"
"138","Whatcom","25-34","Female"
"139","Clallam","65 and over","Male"
"140","Island","65 and over","Male"
"141","Snohomish","18-24","Female"
"142","King","45-54","Male"
"143","King","35-44","Male"
"144","Kittitas","65 and over","Female"
"145","King","18-24","Male"
"146","Whatcom","35-44","Male"
"147","Pierce","55-64","Female"
"148","Benton","65 and over","Male"
"149","Mason","65 and over","Female"
"150","King","25-34","Female"
"151","Thurston","25-34","Male"
"152","King","55-64","Male"
"153","Pierce","65 and over","Male"
"154","Thurston","65 and over","Female"
"155","Spokane","65 and over","Male"
"156","King","65 and over","Male"
"157","Snohomish","55-64","Female"
"158","Pierce","65 and over","Male"
"159","King","65 and over","Male"
"160","Clark","45-54","Male"
"161","Spokane","65 and over","Female"
"162","King","65 and over","Female"
"163","Douglas","55-64","Female"
"164","Kitsap","55-64","Female"
"165","Skamania","35-44","Female"
"166","King","65 and over","Female"
"167","Stevens","55-64","Male"
"168","Spokane","35-44","Male"
"169","King","25-34","Female"
"170","King","45-54","Female"
"171","Snohomish","35-44","Male"
"172","Clallam","65 and over","Female"
"173","Skagit","35-44","Female"
"174","Pierce","25-34","Female"
"175","King","45-54","Female"
"176","Pierce","65 and over","Male"
"177","Clark","65 and over","Male"
"178","King","25-34","Female"
"179","Snohomish","65 and over","Female"
"180","Pierce","45-54","Female"
"181","Skagit","65 and over","Female"
"182","Snohomish","65 and over","Male"
"183","Kitsap","45-54","Male"
"184","Kitsap","25-34","Female"
"185","Snohomish","35-44","Male"
"186","Clallam","55-64","Male"
"187","King","45-54","Female"
"188","King","18-24","Male"
"189","Thurston","25-34","Female"
"190","Franklin","55-64","Male"
"191","Spokane","55-64","Male"
"192","Snohomish","18-24","Male"
"193","Clark","55-64","Male"
"194","King","55-64","Male"
"195","King","65 and over","Female"
"196","Snohomish","45-54","Male"
"197","King","35-44","Female"
"198","Chelan","45-54","Female"
"199","Kitsap","45-54","Female"
"200","Thurston","25-34","Female"
"201","King","45-54","Male"
"202","Benton","35-44","Female"
"203","Benton","25-34","Female"
"204","Snohomish","45-54","Male"
"205","Clallam","65 and over","Male"
"206","King","55-64","Female"
"207","King","35-44","Female"
"208","Pierce","25-34","Female"
"209","King","18-24","Female"
"210","Kitsap","45-54","Male"
"211","Spokane","35-44","Male"
"212","Yakima","45-54","Female"
"213","King","65 and over","Male"
"214","King","45-54","Female"
"215","Whitman","25-34","Female"
"216","Snohomish","35-44","Female"
"217","Skagit","65 and over","Female"
"218","King","25-34","Female"
"219","Spokane","25-34","Female"
"220","Pierce","55-64","Female"
"221","King","65 and over","Male"
"222","Grant","35-44","Male"
"223","King","45-54","Male"
"224","Pierce","35-44","Female"
"225","Kitsap","25-34","Female"
"226","Clark","35-44","Male"
"227","King","55-64","Female"
"228","Spokane","25-34","Female"
"229","Clark","55-64","Male"
"230","King","35-44","Unknown/Other"
"231","Benton","65 and over","Male"
"232","Douglas","25-34","Male"
"233","Pierce","65 and over","Female"
"234","Snohomish","65 and over","Male"
"235","Benton","55-64","Male"
"236","Spokane","55-64","Male"
"237","Klickitat","65 and over","Female"
"238","Snohomish","65 and over","Female"
"239","Clark","55-64","Male"
"240","Spokane","35-44","Male"
"241","Clark","65 and over","Female"
"242","King","45-54","Unknown/Other"
"243","Spokane","65 and over","Male"
"244","King","65 and over","Female"
"245","Benton","55-64","Female"
"246","King","25-34","Male"
"247","Snohomish","35-44","Male"
"248","Whatcom","45-54","Female"
"249","Cowlitz","18-24","Male"
"250","King","35-44","Female"
"251","King","35-44","Male"
"252","Clark","45-54","Male"
"253","King","25-34","Female"
"254","Snohomish","25-34","Male"
"255","Pierce","55-64","Male"
"256","Grant","25-34","Male"
"257","King","25-34","Male"
"258","Spokane","25-34","Male"
"259","Spokane","25-34","Male"
"260","Snohomish","65 and over","Female"
"261","King","65 and over","Female"
"262","Spokane","55-64","Female"
"263","Pierce","35-44","Female"
"264","Stevens","55-64","Male"
"265","Spokane","35-44","Female"
"266","Asotin","45-54","Male"
"267","Island","45-54","Female"
"268","King","18-24","Female"
"269","Skagit","35-44","Male"
"270","Thurston","65 and over","Female"
"271","King","65 and over","Female"
"272","King","35-44","Female"
"273","King","25-34","Male"
"274","Snohomish","45-54","Male"
"275","King","65 and over","Male"
"276","Benton","25-34","Female"
"277","Kitsap","25-34","Female"
"278","King","35-44","Male"
"279","Pierce","65 and over","Female"
"280","Stevens","65 and over","Male"
"281","Skagit","35-44","Male"
"282","Benton","45-54","Female"
"283","Mason","25-34","Female"
"284","Island","35-44","Female"
"285","King","25-34","Male"
"286","Kitsap","65 and over","Female"
"287","Island","65 and over","Female"
"288","Pierce","65 and over","Female"
"289","Snohomish","65 and over","Female"
"290","Lewis","35-44","Male"
"291","Snohomish","45-54","Female"
"292","Benton","55-64","Female"
"293","Grays Harbor","65 and over","Female"
"294","Snohomish","35-44","Female"
"295","Kitsap","55-64","Female"
"296","Thurston","65 and over","Unknown/Other"
"297","Lewis","55-64","Female"
"298","Clark","65 and over","Male"
"299","Snohomish","55-64","Male"
"300","Pierce","45-54","Male"
"301","Snohomish","18-24","Male"
"302","Snohomish","55-64","Female"
"303","Snohomish","55-64","Female"
"304","King","65 and over","Female"
"305","Grant","45-54","Female"
"306","King","35-44","Male"
"307","Lewis","65 and over","Female"
"308","Clark","35-44","Female"
"309","Kitsap","45-54","Unknown/Other"
"310","Snohomish","35-44","Male"
"311","King","35-44","Male"
"312","Yakima","45-54","Male"
"313","Okanogan","65 and over","Female"
"314","Kitsap","65 and over","Male"
"315","Spokane","65 and over","Male"
"316","Grant","45-54","Female"
"317","King","65 and over","Male"
"318","Pierce","55-64","Male"
"319","Cowlitz","65 and over","Male"
"320","Spokane","35-44","Unknown/Other"
"321","King","25-34","Female"
"322","Mason","65 and over","Female"
"323","Pierce","55-64","Male"
"324","King","65 and over","Female"
"325","Spokane","25-34","Male"
"326","Lewis","25-34","Male"
"327","King","45-54","Male"
"328","Pierce","65 and over","Male"
"329","Snohomish","65 and over","Female"
"330","King","25-34","Male"
"331","Chelan","45-54","Female"
"332","Spokane","45-54","Female"
"333","Thurston","55-64","Female"
"334","Spokane","25-34","Male"
"335","Walla Walla","65 and over","Female"
"336","Walla Walla","65 and over","Male"
"337","Spokane","35-44","Female"
"338","Walla Walla","18-24","Female"
"339","Whatcom","55-64","Male"
"340","Skagit","35-44","Female"
"341","Spokane","35-44","Male"
"342","Pierce","65 and over","Male"
"343","Clark","25-34","Female"
"344","Thurston","35-44","Female"
"345","Thurston","35-44","Male"
"346","Lewis","25-34","Male"
"347","Clark","65 and over","Female"
"348","Clark","18-24","Female"
"349","Benton","25-34","Female"
"350","King","35-44","Female"
"351","King","25-34","Female"
"352","Skagit","25-34","Male"
"353","Snohomish","65 and over","Female"
"354","Yakima","45-54","Male"
"355","Spokane","55-64","Female"
"356","Whatcom","35-44","Male"
"357","Kitsap","45-54","Female"
"358","Thurston","65 and over","Male"
"359","King","18-24","Female"
"360","Kitsap","55-64","Female"
"361","Kitsap","35-44","Female"
"362","Clark","45-54","Male"
"363","Kitsap","55-64","Female"
"364","King","35-44","Female"
"365","Whatcom","55-64","Female"
"366","Spokane","45-54","Female"
"367","King","65 and over","Male"
"368","Island","45-54","Female"
"369","King","55-64","Male"
"370","Snohomish","25-34","Male"
"371","Clark","55-64","Unknown/Other"
"372","Lincoln","55-64","Male"
"373","King","25-34","Female"
"374","Clallam","65 and over","Female"
"375","King","65 and over","Male"
"376","King","35-44","Unknown/Other"
"377","Walla Walla","45-54","Male"
"378","Thurston","25-34","Male"
"379","King","35-44","Female"
"380","Snohomish","55-64","Female"
"381","Snohomish","45-54","Female"
"382","Spokane","18-24","Male"
"383","King","65 and over","Female"
"384","King","35-44","Female"
"385","King","25-34","Male"
"386","Spokane","45-54","Female"
"387","King","45-54","Male"
"388","Thurston","18-24","Male"
"389","Yakima","45-54","Female"
"390","King","25-34","Female"
"391","Pierce","35-44","Male"
"392","Okanogan","25-34","Female"
"393","Okanogan","65 and over","Female"
"394","Snohomish","45-54","Male"
"395","King","25-34","Female"
"396","Pierce","35-44","Female"
"397","Kitsap","55-64","Female"
"398","Skagit","65 and over","Female"
"399","King","55-64","Male"
"400","Spokane","18-24","Female"
"401","Kitsap","65 and over","Male"
"402","Spokane","65 and over","Female"
"403","King","65 and over","Female"
"404","Pierce","25-34","Female"
"405","Spokane","25-34","Female"
"406","King","55-64","Female"
"407","Yakima","55-64","Male"
"408","Clallam","65 and over","Male"
"409","Kitsap","25-34","Male"
"410","Wahkiakum","65 and over","Male"
"411","King","35-44","Male"
"412","Okanogan","35-44","Female"
"413","Pierce","55-64","Male"
"414","King","35-44","Male"
"415","Whatcom","35-44","Female"
"416","Walla Walla","65 and over","Male"
"417","King","65 and over","Female"
"418","King","25-34","Female"
"419","King","55-64","Male"
"420","Kitsap","25-34","Male"
"421","Lewis","25-34","Female"
"422","Chelan","25-34","Male"
"423","Island","65 and over","Male"
"424","Skagit","35-44","Female"
"425","Stevens","65 and over","Male"
"426","King","55-64","Male"
"427","Kitsap","65 and over","Female"
"428","King","65 and over","Male"
"429","King","55-64","Female"
"430","Thurston","55-64","Female"
"431","Franklin","25-34","Female"
"432","Grays Harbor","45-54","Female"
"433","King","35-44","Female"
"434","King","65 and over","Male"
"435","King","55-64","Male"
"436","King","45-54","Male"
"437","Cowlitz","55-64","Female"
"438","Clark","35-44","Female"
"439","Pierce","55-64","Female"
"440","Snohomish","35-44","Male"
"441","Thurston","35-44","Female"
"442","King","25-34","Male"
"443","Franklin","25-34","Male"
"444","Okanogan","65 and over","Female"
"445","King","35-44","Female"
"446","Grant","35-44","Female"
"447","Pierce","35-44","Female"
"448","King","45-54","Female"
"449","King","35-44","Male"
"450","Kitsap","55-64","Female"
"451","Snohomish","65 and over","Male"
"452","King","35-44","Male"
"453","King","45-54","Male"
"454","Walla Walla","65 and over","Male"
"455","King","45-54","Female"
"456","Snohomish","35-44","Female"
"457","King","65 and over","Male"
"458","Snohomish","65 and over","Female"
"459","King","25-34","Male"
"460","Pierce","65 and over","Male"
"461","Asotin","25-34","Female"
"462","King","18-24","Female"
"463","King","35-44","Male"
"464","Clark","55-64","Female"
"465","Snohomish","65 and over","Unknown/Other"
"466","King","25-34","Female"
"467","King","65 and over","Female"
"468","Pierce","55-64","Female"
"469","Spokane","25-34","Female"
"470","Lewis","45-54","Male"
"471","Skagit","55-64","Female"
"472","King","65 and over","Male"
"473","Skamania","65 and over","Female"
"474","Skagit","35-44","Male"
"475","Whatcom","35-44","Male"
"476","Pierce","55-64","Male"
"477","Pierce","18-24","Female"
"478","Chelan","25-34","Male"
"479","Thurston","25-34","Male"
"480","King","25-34","Male"
"481","Kittitas","45-54","Male"
"482","Snohomish","55-64","Female"
"483","Snohomish","18-24","Female"
"484","Chelan","45-54","Male"
"485","King","65 and over","Male"
"486","Snohomish","25-34","Female"
"487","Benton","45-54","Male"
"488","Cowlitz","18-24","Male"
"489","Clark","18-24","Male"
"490","King","45-54","Female"
"491","Clark","65 and over","Female"
"492","King","55-64","Male"
"493","Pierce","45-54","Male"
"494","King","35-44","Male"
"495","Walla Walla","65 and over","Female"
"496","King","35-44","Male"
"497","Kitsap","65 and over","Male"
"498","Thurston","55-64","Male"
"499","King","65 and over","Female"
"500","Spokane","35-44","Male"
"501","Pierce","25-34","Male"
"502","King","35-44","Female"
"503","Snohomish","45-54","Male"
"504","Pierce","18-24","Female"
"505","Skagit","45-54","Female"
"506","King","55-64","Male"
"507","Snohomish","35-44","Female"
"508","King","25-34","Female"
"509","Lewis","45-54","Female"
"510","Pierce","55-64","Female"
"511","Spokane","18-24","Female"
"512","King","65 and over","Male"
"513","King","25-34","Male"
"514","Lincoln","65 and over","Male"
"515","Skagit","18-24","Male"
"516","Skagit","45-54","Male"
"517","Kitsap","25-34","Female"
"518","Whatcom","65 and over","Female"
"519","Spokane","65 and over","Unknown/Other"
"520","Whatcom","65 and over","Female"
"521","King","35-44","Female"
"522","King","65 and over","Female"
"523","Kitsap","65 and over","Male"
"524","Spokane","65 and over","Female"
"525","Pierce","18-24","Male"
"526","King","65 and over","Female"
"527","Thurston","18-24","Female"
"528","Snohomish","45-54","Unknown/Other"
"529","Clallam","65 and over","Unknown/Other"
"530","King","55-64","Male"
"531","King","55-64","Male"
"532","Pierce","18-24","Female"
"533","Pierce","65 and over","Female"
"534","King","25-34","Male"
"535","Pierce","65 and over","Female"
"536","King","35-44","Female"
"537","King","18-24","Female"
"538","Thurston","65 and over","Female"
"539","Grays Harbor","65 and over","Female"
"540","King","35-44","Female"
"541","Clark","65 and over","Female"
"542","Spokane","45-54","Male"
"543","Kitsap","35-44","Male"
"544","King","25-34","Male"
"545","King","65 and over","Male"
"546","Whatcom","65 and over","Male"
"547","Grant","65 and over","Female"
"548","Spokane","45-54","Female"
"549","Clark","45-54","Female"
"550","Kitsap","35-44","Male"
"551","Walla Walla","18-24","Female"
"552","King","35-44","Male"
"553","Pierce","25-34","Female"
"554","Pierce","25-34","Female"
"555","Clallam","65 and over","Male"
"556","Clark","45-54","Male"
"557","Whatcom","65 and over","Female"
"558","King","25-34","Male"
"559","Pierce","25-34","Male"
"560","King","25-34","Female"
"561","Kitsap","65 and over","Male"
"562","Snohomish","65 and over","Female"
"563","Pierce","45-54","Female"
"564","Pierce","55-64","Female"
"565","King","55-64","Female"
"566","Whatcom","55-64","Female"
"567","Thurston","45-54","Male"
"568","Spokane","65 and over","Female"
"569","Spokane","45-54","Female"
"570","Snohomish","55-64","Male"
"571","Kittitas","65 and over","Female"
"572","Grant","55-64","Male"
"573","Kittitas","65 and over","Male"
"574","King","55-64","Male"
"575","Pierce","65 and over","Female"
"576","King","35-44","Female"
"577","San Juan","18-24","Male"
"578","Pierce","25-34","Male"
"579","Pierce","35-44","Female"
"580","Snohomish","18-24","Male"
"581","Snohomish","65 and over","Male"
"582","Klickitat","55-64","Male"
"583","Spokane","45-54","Male"
"584","King","35-44","Female"
"585","King","35-44","Female"
"586","Spokane","45-54","Male"
"587","King","25-34","Male"
"588","Snohomish","25-34","Male"
"589","King","18-24","Male"
"590","Cowlitz","25-34","Female"
"591","Snohomish","65 and over","Male"
"592","King","25-34","Male"
"593","King","35-44","Male"
"594","Pierce","25-34","Male"
"595","Whatcom","25-34","Male"
"596","Kitsap","45-54","Female"
"597","San Juan","25-34","Female"
"598","Snohomish","45-54","Male"
"599","Spokane","18-24","Male"
"600","Clark","55-64","Male"
"601","Pierce","65 and over","Female"
"602","King","55-64","Male"
"603","Pierce","25-34","Male"
"604","King","55-64","Male"
"605","King","55-64","Female"
"606","Snohomish","45-54","Male"
"607","Clark","65 and over","Female"
"608","Benton","65 and over","Female"
"609","King","65 and over","Female"
"610","Snohomish","65 and over","Female"
"611","Clark","65 and over","Male"
"612","Thurston","55-64","Male"
"613","Clark","25-34","Male"
"614","Spokane","65 and over","Female"
"615","King","55-64","Male"
"616","Kitsap","35-44","Male"
"617","Grant","25-34","Female"
"618","Kitsap","55-64","Male"
"619","Snohomish","65 and over","Female"
"620","Thurston","65 and over","Female"
"621","Thurston","55-64","Male"
"622","Yakima","65 and over","Female"
"623","King","35-44","Male"
"624","Benton","45-54","Female"
"625","Walla Walla","65 and over","Male"
"626","King","25-34","Female"
"627","King","55-64","Male"
"628","Mason","25-34","Female"
"629","Clallam","18-24","Female"
"630","King","35-44","Male"
"631","Kittitas","45-54","Male"
"632","King","18-24","Female"
"633","Pierce","45-54","Male"
"634","Yakima","65 and over","Male"
"635","Pierce","65 and over","Male"
"636","Snohomish","45-54","Male"
"637","Kitsap","35-44","Female"
"638","Snohomish","35-44","Male"
"639","King","25-34","Female"
"640","Snohomish","55-64","Female"
"641","Clark","55-64","Male"
"642","King","35-44","Male"
"643","Snohomish","25-34","Female"
"644","Lewis","45-54","Female"
"645","Kitsap","45-54","Male"
"646","Franklin","35-44","Male"
"647","Skagit","65 and over","Male"
"648","Okanogan","18-24","Female"
"649","Clark","18-24","Male"
"650","Snohomish","65 and over","Unknown/Other"
"651","Pierce","65 and over","Male"
"652","King","18-24","Male"
"653","Pierce","25-34","Female"
"654","Skagit","25-34","Male"
"655","Clark","45-54","Female"
"656","King","25-34","Female"
"657","King","35-44","Male"
"658","Clark","18-24","Female"
"659","Chelan","65 and over","Male"
"660","Spokane","18-24","Male"
"661","Snohomish","18-24","Male"
"662","Grant","18-24","Male"
"663","Klickitat","45-54","Female"
"664","King","65 and over","Female"
"665","King","65 and over","Male"
"666","Spokane","55-64","Male"
"667","Pierce","45-54","Female"
"668","Columbia","65 and over","Male"
"669","Yakima","25-34","Female"
"670","King","35-44","Male"
"671","King","55-64","Female"
"672","Skagit","45-54","Female"
"673","Pierce","65 and over","Female"
"674","Snohomish","45-54","Female"
"675","Snohomish","25-34","Female"
"676","Mason","65 and over","Female"
"677","Clark","35-44","Male"
"678","Franklin","25-34","Female"
"679","King","65 and over","Female"
"680","Snohomish","18-24","Female"
"681","Snohomish","18-24","Female"
"682","Snohomish","25-34","Female"
"683","King","25-34","Male"
"684","Pierce","55-64","Male"
"685","Spokane","65 and over","Female"
"686","Whatcom","45-54","Male"
"687","King","55-64","Female"
"688","King","65 and over","Female"
"689","Snohomish","25-34","Male"
"690","King","35-44","Male"
"691","Clark","35-44","Male"
"692","Kittitas","55-64","Male"
"693","King","65 and over","Male"
"694","Pierce","65 and over","Male"
"695","Skagit","45-54","Female"
"696","Spokane","25-34","Male"
"697","Clark","65 and over","Female"
"698","Kitsap","45-54","Male"
"699","Spokane","55-64","Male"
"700","King","65 and over","Female"
"701","King","45-54","Male"
"702","King","65 and over","Male"
"703","Skagit","55-64","Male"
"704","Spokane","35-44","Male"
"705","Benton","18-24","Female"
"706","Yakima","18-24","Female"
"707","Spokane","55-64","Male"
"708","Lincoln","18-24","Male"
"709","Thurston","45-54","Male"
"710","King","45-54","Male"
"711","Yakima","65 and over","Female"
"712","Spokane","35-44","Female"
"713","Kittitas","65 and over","Female"
"714","Pierce","35-44","Male"
"715","Snohomish","65 and over","Female"
"716","King","18-24","Male"
"717","Cowlitz","65 and over","Female"
"718","Pierce","65 and over","Female"
"719","Benton","25-34","Female"
"720","King","65 and over","Female"
"721","Clark","55-64","Male"
"722","King","45-54","Female"
"723","Pierce","45-54","Male"
"724","Asotin","35-44","Male"
"725","King","65 and over","Female"
"726","King","65 and over","Male"
"727","Snohomish","65 and over","Male"
"728","King","65 and over","Female"
"729","Snohomish","55-64","Female"
"730","Pierce","65 and over","Male"
"731","Kitsap","45-54","Male"
"732","Snohomish","65 and over","Male"
"733","Yakima","35-44","Female"
"734","Pierce","65 and over","Unknown/Other"
"735","Mason","65 and over","Female"
"736","King","45-54","Female"
"737","Snohomish","35-44","Male"
"738","King","65 and over","Male"
"739","Whatcom","65 and over","Female"
"740","Kitsap","25-34","Female"
"741","Spokane","35-44","Female"
"742","King","65 and over","Male"
"743","Lewis","18-24","Male"
"744","Snohomish","18-24","Male"
"745","Benton","55-64","Female"
"746","Jefferson","25-34","Male"
"747","Yakima","35-44","Male"
"748","Spokane","45-54","Female"
"749","Snohomish","55-64","Female"
"750","Whatcom","55-64","Female"
"751","Clark","65 and over","Female"
"752","Clark","65 and over","Female"
"753","Spokane","45-54","Male"
"754","Whatcom","55-64","Male"
"755","Snohomish","65 and over","Male"
"756","Thurston","25-34","Female"
"757","Chelan","45-54","Male"
"758","King","25-34","Male"
"759","Clallam","25-34","Male"
"760","King","65 and over","Female"
"761","Thurston","65 and over","Male"
"762","King","35-44","Male"
"763","Spokane","35-44","Female"
"764","King","25-34","Male"
"765","Pierce","65 and over","Unknown/Other"
"766","King","25-34","Female"
"767","Lewis","35-44","Female"
"768","Whatcom","35-44","Female"
"769","Pierce","65 and over","Male"
"770","King","45-54","Female"
"771","Yakima","65 and over","Female"
"772","King","18-24","Male"
"773","King","45-54","Male"
"774","Chelan","65 and over","Female"
"775","Snohomish","45-54","Male"
"776","Thurston","65 and over","Female"
"777","Walla Walla","65 and over","Male"
"778","Snohomish","35-44","Female"
"779","Cowlitz","65 and over","Female"
"780","Snohomish","18-24","Female"
"781","Yakima","65 and over","Female"
"782","Pierce","45-54","Male"
"783","Pierce","65 and over","Female"
"784","Snohomish","65 and over","Male"
"785","Island","35-44","Male"
"786","Snohomish","65 and over","Male"
"787","Snohomish","65 and over","Female"
"788","King","25-34","Male"
"789","King","35-44","Male"
"790","Chelan","55-64","Male"
"791","Yakima","25-34","Male"
"792","Yakima","18-24","Female"
"793","Snohomish","18-24","Female"
"794","King","65 and over","Male"
"795","King","45-54","Male"
"796","Snohomish","55-64","Female"
"797","King","45-54","Female"
"798","Pierce","65 and over","Female"
"799","Spokane","65 and over","Unknown/Other"
"800","King","45-54","Male"
"801","Pierce","65 and over","Female"
"802","Clallam","35-44","Female"
"803","Snohomish","35-44","Female"
"804","King","65 and over","Male"
"805","Snohomish","35-44","Female"
"806","Grays Harbor","65 and over","Male"
"807","Pierce","45-54","Male"
"808","King","18-24","Female"
"809","King","65 and over","Female"
"810","King","55-64","Male"
"811","Spokane","65 and over","Female"
"812","King","65 and over","Female"
"813","Snohomish","65 and over","Male"
"814","Walla Walla","55-64","Male"
"815","Island","65 and over","Unknown/Other"
"816","Benton","35-44","Male"
"817","Snohomish","45-54","Female"
"818","King","25-34","Male"
"819","Cowlitz","65 and over","Female"
"820","King","25-34","Female"
"821","Clallam","65 and over","Male"
"822","King","65 and over","Female"
"823","Thurston","65 and over","Female"
"824","Yakima","35-44","Male"
"825","Skagit","25-34","Female"
"826","Spokane","65 and over","Male"
"827","Thurston","65 and over","Female"
"828","Clark","25-34","Female"
"829","Skagit","65 and over","Female"
"830","Stevens","45-54","Male"
"831","King","25-34","Female"
"832","Kitsap","65 and over","Female"
"833","King","35-44","Male"
"834","Grant","55-64","Female"
"835","Kitsap","18-24","Male"
"836","King","65 and over","Female"
"837","Snohomish","35-44","Male"
"838","Mason","45-54","Female"
"839","Clark","65 and over","Male"
"840","Clark","35-44","Male"
"841","King","65 and over","Female"
"842","Okanogan","65 and over","Male"
"843","King","35-44","Male"
"844","Clark","45-54","Female"
"845","Yakima","65 and over","Female"
"846","Benton","65 and over","Male"
"847","Columbia","55-64","Female"
"848","Snohomish","18-24","Male"
"849","King","55-64","Male"
"850","Spokane","55-64","Male"
"851","King","55-64","Female"
"852","Whatcom","25-34","Female"
"853","Clallam","65 and over","Female"
"854","King","55-64","Female"
"855","Pierce","65 and over","Female"
"856","Kittitas","25-34","Male"
"857","King","35-44","Male"
"858","Kitsap","35-44","Male"
"859","Franklin","18-24","Female"
"860","Pierce","55-64","Male"
"861","Grays Harbor","55-64","Female"
"862","King","35-44","Male"
"863","King","55-64","Male"
"864","King","45-54","Male"
"865","King","45-54","Male"
"866","Clark","45-54","Female"
"867","Snohomish","65 and over","Female"
"868","Kittitas","25-34","Female"
"869","King","35-44","Female"
"870","Grant","65 and over","Female"
"871","Walla Walla","45-54","Female"
"872","King","65 and over","Male"
"873","Franklin","55-64","Male"
"874","Snohomish","65 and over","Female"
"875","Spokane","45-54","Female"
"876","King","55-64","Female"
"877","Pierce","65 and over","Male"
"878","Pierce","45-54","Male"
"879","King","18-24","Male"
"880","King","25-34","Unknown/Other"
"881","Benton","65 and over","Female"
"882","Whatcom","25-34","Female"
"883","King","25-34","Male"
"884","Benton","25-34","Male"
"885","Pierce","55-64","Female"
"886","Thurston","55-64","Female"
